Ship_name,Cruise_line,Age,Tonnage,passengers,length,cabins,passenger_density,crew,crewwelfare_concern,crew_jobsatisfaction,cruiseline_performance
Zenith,Celebrity,21,47.225,13.66,6.82,6.87,34.57,6.7,3,84,84
Allegra,Costa,21,28.43,8.08,6.16,4.1,35.19,4,44,49,6
Atlantica,Costa,13,85.619,21.14,9.57,10.56,40.5,9.2,97,11,78
Classica,Costa,22,52.926,13.02,7.18,6.54,40.65,6.17,92,52,20
Europa,Costa,27,53.872,14.94,7.98,7.67,36.06,6.36,1,24,57
Fortuna,Costa,10,105,27.2,8.9,13.56,38.6,10.68,49,12,10
Magica,Costa,9,105,27.2,8.9,13.56,38.6,10.68,2,15,76
Marina,Costa,23,25,7.76,6.22,3.86,32.22,3.85,13,87,54
Mediterranea,Costa,10,86,21.14,9.6,10.56,40.68,9.2,89,45,82
Romantica,Costa,20,53.049,13.44,7.22,6.78,39.47,6,74,10,57
Serena,Costa,6,112,38,9.51,15,29.47,10.9,31,84,53
Victoria,Costa,17,75.166,19.28,8.28,9.64,38.99,7.66,15,50,46
Serenity,Crystal,10,68,10.8,7.9,5.5,62.96,6.36,50,63,71
Symphony,Crystal,18,51.004,9.4,7.81,4.8,54.26,5.45,56,42,31
QueenElizabethII,Cunard,44,70.327,17.91,9.63,9.5,39.27,9.21,17,21,27
QueenMary2,Cunard,10,151.4,26.2,11.32,11.34,57.79,12.53,86,32,46
QueenVictoria,Cunard,6,90,20,9.64,10.29,45,9,50,25,69
Magic,Disney,15,83.338,17.5,9.64,8.75,47.62,9.45,54,17,53
Wonder,Disney,14,83,17.5,9.64,8.75,47.43,9.45,98,15,48
Amsterdam,Holland_American,13,61,13.8,7.8,6.88,44.2,6,52,74,86
Eurodam,Holland_American,5,86,21.04,9.36,10.22,40.87,8,51,55,61
Maasdam,Holland_American,20,55.451,12.64,7.19,6.32,43.87,5.57,37,24,37
Noordam,Holland_American,29,33.92,12.14,7.04,6.07,27.94,5.3,67,98,31
Oosterdam,Holland_American,10,81.769,18.48,9.59,9.24,44.25,8.42,70,83,35
Prinsendam,Holland_American,25,38,7.49,6.74,3.96,50.73,4.6,87,88,70
Rotterdam,Holland_American,16,59.652,13.2,7.77,6.6,45.19,6.44,22,49,23
Ryndam,Holland_American,19,55.451,12.66,7.19,6.33,43.8,5.88,49,90,45
Statendam,Holland_American,20,55.451,12.66,7.19,6.33,43.8,5.88,2,54,98
Veendam,Holland_American,17,55.451,12.66,7.19,6.33,43.8,5.88,58,18,58
Volendam,Holland_American,14,63,14.4,7.77,7.2,43.75,5.61,3,15,93
Westerdam,Holland_American,27,53.872,14.94,7.98,7.47,36.06,6.12,34,73,69
Zaandam,Holland_American,13,63,14.4,7.77,7.2,43.75,5.31,35,31,39
Zuiderdam,Holland_American,11,85,18.48,9.51,9.24,46,8,74,75,11
Armonia,MSC,12,58.6,15.66,8.24,7.83,37.42,7,16,47,81
Fantasia,MSC,5,133.5,39.59,10.93,16.37,33.72,13.13,99,70,40
Lirica,MSC,10,58.825,15.6,8.23,7.65,37.71,7,31,70,45
Melody,MSC,31,35.143,12.5,6.69,5.32,28.11,5.35,36,3,12
Musica,MSC,7,89.6,25.5,9.61,12.75,35.14,9.87,61,14,61
Opera,MSC,9,59.058,17,7.63,8.5,34.74,7.4,42,10,42
Rhapsody,MSC,36,16.852,9.52,5.41,3.83,17.7,2.97,34,98,78
Sinfonia,MSC,11,58.6,15.66,8.23,7.83,37.42,7.6,51,39,61
Crown,Norwegian,25,34.25,10.52,6.15,5.26,32.56,4.7,9,62,65
Dawn,Norwegian,11,90,22.4,9.65,11.2,40.18,11,44,75,6
Dream,Norwegian,21,50.76,17.48,7.54,8.74,29.04,6.14,43,25,46
Gem,Norwegian,6,93,23.94,9.65,11.97,38.85,11.09,16,79,25
Jewel,Norwegian,8,91,22.44,9.65,11.22,40.55,11,95,41,58
Majesty,Norwegian,21,38,10.56,5.67,5.28,35.98,4.38,4,95,100
PrideofAloha,Norwegian,14,77.104,20.02,8.53,10.01,38.51,8,35,79,69
PrideofAmerica,Norwegian,9,81,21.44,9.21,10.72,37.78,10,50,54,94
Sea,Norwegian,25,42,15.04,7.08,7.52,27.93,6.3,25,93,37
Spirit,Norwegian,15,75.338,19.56,8.79,9.83,38.52,13,43,73,25
Star,Norwegian,40,28,11.5,6.74,4,24.35,3.8,22,58,50
Sun,Norwegian,12,77.104,20.02,8.53,10.01,38.51,9.59,99,23,97
Wind,Norwegian,20,50.76,17.48,7.54,8.74,29.04,6.14,71,17,84
Insignia,Oceania,15,30.277,6.84,5.94,3.42,44.26,4,21,32,1
Nautica,Oceania,13,30.277,6.84,5.94,3.42,44.26,4,10,8,99
Regatta,Oceania,15,30.277,6.84,5.94,3.42,44.26,4,81,68,16
MarcoPolo,Orient,48,22.08,8.26,5.78,4.25,26.73,3.5,9,62,20
Arcadia,P&O,9,85,19.68,9.35,9.84,43.19,8.69,23,5,71
Artemis,P&O,29,45,11.78,7.54,5.3,38.2,5.2,25,54,51
Aurora,P&O,13,76,18.74,8.86,9.39,40.55,8.5,89,88,38
Oceana,P&O,10,77,20.16,8.56,9.75,38.19,9,13,88,4
Oriana,P&O,18,69.153,18.82,8.53,9.14,36.74,7.94,27,64,43
Ventura,P&O,5,115,35.74,9,15.32,32.18,12.2,87,19,5
Caribbean,Princess,9,116,26,9.51,13,44.62,11,55,23,97
Coral,Princess,11,91.627,19.74,9.64,9.87,46.42,9,29,39,13
Crown,Princess,7,116,31,9.51,15.57,37.42,12,72,74,96
Dawn,Princess,16,77.499,19.5,8.56,10.5,39.74,9,56,61,83
Diamond,Princess,9,113,26.74,9.51,13.37,42.26,12.38,65,52,22
Emerald,Princess,6,113,37.82,9.51,15.57,29.88,12,66,62,80
Golden,Princess,12,108.865,27.58,9.51,13,39.47,11,21,39,26
Grand,Princess,15,108.806,26,9.51,13,41.85,11.1,88,72,18
Island,Princess,10,91.627,19.74,9.64,9.87,46.42,9,64,18,79
Pacific,Princess,14,30.277,6.86,5.93,3.44,44.14,3.73,48,64,34
Regal,Princess,22,69.845,15.9,8.03,7.95,43.93,6.96,59,27,98
Royal,Princess,29,44.348,12,7.54,6,36.96,5.2,75,12,2
Saphire,Princess,9,113,26.74,9.51,13.37,42.26,12.38,54,37,74
Sea,Princess,8,77.499,19.5,8.56,9.75,39.74,9,74,45,51
Star,Princess,11,108.977,26.02,9.51,13.01,41.88,12,45,72,63
Sun,Princess,18,77.499,19.5,8.56,9.75,39.74,9,99,56,81
Tahitian,Princess,14,30.277,6.88,5.93,3.44,44.01,3.73,63,26,78
ExplorerII,Regent_Seven_Seas,27,12.5,3.94,4.36,0.88,31.73,1.46,55,27,28
Mariner,Regent_Seven_Seas,12,50,7,7.09,3.54,71.43,4.45,16,47,44
Navigator,Regent_Seven_Seas,14,33,4.9,5.6,2.45,67.35,3.24,3,69,38
PaulGauguin,Regent_Seven_Seas,16,19.2,3.2,5.13,1.6,60,2.11,70,75,78
Voyager,Regent_Seven_Seas,10,46,7,6.7,1.82,65.71,4.47,75,51,3
Adventure,Royal_Caribbean,12,138,31.14,10.2,15.57,44.32,11.85,15,78,24
Brilliance,Royal_Caribbean,11,90.09,25.01,9.62,10.5,36.02,8.48,26,43,7
Empress,Royal_Caribbean,23,48.563,20.2,6.92,8,24.04,6.71,9,70,35
Enchantment,Royal_Caribbean,16,74.137,19.5,9.16,9.75,38.02,7.6,64,15,40
Explorer,Royal_Caribbean,13,138,31.14,10.2,15.57,44.32,11.76,2,38,34
Freedom,Royal_Caribbean,7,158,43.7,11.12,18,36.16,13.6,36,70,96
Grandeur,Royal_Caribbean,17,74.137,19.5,9.16,9.75,38.02,7.6,10,39,45
Independence,Royal_Caribbean,5,160,36.34,11.12,18.17,44.03,13.6,71,88,34
Jewel,Royal_Caribbean,9,90.09,25.01,9.62,10.94,36.02,8.69,30,14,13
Legend,Royal_Caribbean,18,70,18,8.67,9,38.89,7.2,53,68,7
Liberty,Royal_Caribbean,6,158,43.7,11.25,18,36.16,13.6,76,83,44
Majesty,Royal_Caribbean,21,73.941,27.44,8.8,11.75,26.95,8.22,10,37,23
Mariner,Royal_Caribbean,10,138,31.14,10.2,15.57,44.32,11.85,85,37,16
Monarch,Royal_Caribbean,22,73.941,27.44,8.8,11.77,30.94,8.22,34,76,100
Navigator,Royal_Caribbean,11,138,31.14,10.2,15.57,44.32,11.85,56,55,42
Oasis,Royal_Caribbean,4,220,54,11.82,27,40.74,21,98,55,35
Radiance,Royal_Caribbean,12,90.09,25.01,9.62,10.5,36.02,8.68,72,90,28
Rhapsody,Royal_Caribbean,16,78.491,24.35,9.15,10,32.23,7.65,18,23,66
Serenade,Royal_Caribbean,10,90.09,25.01,9.62,10.5,36.02,8.58,97,40,78
Sovreign,Royal_Caribbean,25,73.192,28.52,8.8,11.38,25.66,8.08,18,44,10
Splendour,Royal_Caribbean,17,70,20.76,8.67,9.02,33.72,7.2,90,17,16
Vision,Royal_Caribbean,15,78.491,24.35,9.15,10,32.23,6.6,51,65,63
Voyager,Royal_Caribbean,14,138,31.14,10.2,15.57,44.32,11.76,67,34,6
Legend,Seabourn,21,10,2.08,4.4,1.04,48.08,1.6,45,20,33
Pride,Seabourn,27,10,2.08,4.4,1.04,48.08,1.6,55,38,57
Spirit,Seabourn,24,10,2.08,4.4,1.04,48.08,1.6,6,47,31
Cloud,Silversea,19,16.8,2.96,5.14,1.48,56.76,2.1,61,59,86
Shadow,Silversea,13,25,3.82,5.97,1.94,65.45,2.95,83,8,47
Whisper,Silversea,12,25,3.88,5.97,1.94,64.43,2.87,1,11,33
Wind,Silversea,19,16.8,2.96,5.14,1.48,56.76,1.97,51,49,33
Aries,Star,22,3.341,0.66,2.8,0.33,50.62,0.59,3,82,1
Gemini,Star,21,19.093,8,5.37,4,23.87,4.7,39,33,75
Libra,Star,12,42,14.8,7.13,7.4,28.38,6.8,65,56,31
Pisces,Star,24,40.053,12.87,5.79,7.76,31.12,7.5,29,45,1
Taurus,Star,22,3.341,0.66,2.79,0.33,50.62,0.59,99,32,10
Virgo,Star,14,76.8,19.6,8.79,9.67,39.18,12,43,90,6
Spirit,Windstar,25,5.35,1.58,4.4,0.74,33.86,0.88,36,81,32
Star,Windstar,27,5.35,1.67,4.4,0.74,32.04,0.88,28,79,24
Surf,Windstar,23,14.745,3.08,6.17,1.56,47.87,1.8,65,48,83
