year,id18,municip_name,population,totalarea,income_med_adj,pct_expense,sent_index,gasoline,diesel,el,hybrid,plugin,total,pct_elcar,zone
2012,municip0229,Enebakk,10487,233,788,6.240731586752348,817,3232,1981,17,35,1,5266,0.3228256741359666,30to60
2012,municip0230,Lørenskog,33709,71,754,4.096952494771437,976,9346,6062,83,157,0,15648,0.5304192229038854,below30
2012,municip0231,Skedsmo,49698,77,716,4.415307752783343,973,14251,8930,78,244,25,23528,0.3315198911934716,below30
2012,municip0233,Nittedal,21454,186,845,4.799855098714001,885,6531,4314,64,94,0,11003,0.5816595473961647,below30
2012,municip0234,Gjerdrum,6152,83,851,5.610422357638159,887,1728,1373,13,21,0,3135,0.41467304625199364,below30
2012,municip0235,Ullensaker,31044,252,725,4.545074077174186,909,9163,6601,18,101,2,15885,0.11331444759206799,30to60
2012,municip0236,Nes,19462,637,725,6.836063459306075,817,6751,4341,21,49,0,11162,0.18813832646479126,30to60
2012,municip0237,Eidsvoll,21621,457,683,7.300509337860781,847,7278,4695,12,78,0,12063,0.09947774185525989,30to60
2012,municip0238,Nannestad,11362,341,726,3.143307796304642,833,3465,2447,8,26,1,5947,0.13452160753321002,30to60
2012,municip0239,Hurdal,2657,285,613,4.753028890959926,730,865,622,0,5,0,1492,0,above60
2012,municip0301,Oslo,613285,454,597,2.212973985868818,1000,135726,114080,1547,2885,22,254260,0.6084323133800047,city
2012,municip0402,Kongsvinger,17522,1036,563,1.463822668339607,799,5568,4029,0,42,1,9640,0,above60
2012,municip0403,Hamar,29045,351,603,0.7443649897545268,876,9319,6770,30,152,5,16276,0.18432047186040795,above60
2012,municip0412,Ringsaker,33191,1280,622,0.5675411561301962,786,11228,7501,5,37,0,18771,0.026636833413243834,above60
2012,municip0415,Løten,7477,369,620,0.9068425391591096,792,2697,1641,1,17,0,4356,0.02295684113865932,above60
2012,municip0417,Stange,19190,724,629,1.4522687665397276,814,6656,4166,1,57,2,10882,0.009189487226612754,above60
2012,municip0418,Nord-Odal,5141,508,575,2.5579727468324167,718,1816,1131,0,6,0,2953,0,above60
2012,municip0419,Sør-Odal,7859,517,629,4.108733010467114,779,2599,1875,1,14,0,4489,0.022276676319893073,above60
2012,municip0420,Eidskog,6288,640,522,0.7401636151149201,698,2159,1426,0,8,0,3593,0,above60
2012,municip0423,Grue,5003,837,530,0.5051719990377677,668,1686,1214,0,6,0,2906,0,above60
2012,municip0425,Åsnes,7606,1041,528,0.6877149109096593,669,2750,1947,0,7,0,4704,0,above60
2012,municip0426,Våler,3844,705,561,0.5911636589919104,669,1413,885,2,4,0,2304,0.08680555555555555,above60
2012,municip0427,Elverum,20152,1229,615,0.625229863920559,762,6214,4243,1,37,3,10498,0.009525623928367309,above60
2012,municip0428,Trysil,6752,3014,524,0.6413682522715125,609,2186,1425,1,1,0,3613,0.027677830058123444,above60
2012,municip0429,Åmot,4337,1340,553,0.71571714858288,627,1467,975,0,3,0,2445,0,above60
2012,municip0430,Stor-Elvdal,2678,2166,492,0,552,762,498,0,1,0,1261,0,above60
2012,municip0432,Rendalen,1959,3180,516,0,491,652,463,0,1,0,1116,0,above60
2012,municip0434,Engerdal,1390,2197,540,0,438,447,369,0,0,0,816,0,above60
2012,municip0436,Tolga,1681,1123,582,0,559,466,369,0,2,0,837,0,above60
2012,municip0437,Tynset,5564,1881,627,0.4550625711035267,660,1621,1276,0,3,0,2900,0,above60
2012,municip0438,Alvdal,2431,942,618,0,584,645,644,1,2,0,1292,0.07739938080495357,above60
2012,municip0439,Folldal,1641,1277,595,0,518,498,434,0,1,0,933,0,above60
2012,municip0441,Os,2040,1040,643,0,578,678,479,1,2,0,1160,0.08620689655172414,above60
2012,municip0501,Lillehammer,26765,478,621,0.8638911864718316,823,7701,5245,5,46,1,12998,0.03846745653177412,above60
2012,municip0502,Gjøvik,29202,672,589,1.1350210970464134,803,9307,6087,10,55,1,15460,0.0646830530401035,above60
2012,municip0511,Dovre,2742,1364,580,0,580,796,637,0,3,0,1436,0,above60
2012,municip0512,Lesja,2195,2259,604,0,542,577,583,0,0,0,1160,0,above60
2012,municip0513,Skjåk,2307,2076,597,0,562,792,597,0,2,0,1391,0,above60
2012,municip0514,Lom,2382,1969,605,0,572,742,671,0,0,0,1413,0,above60
2012,municip0515,Vågå,3739,1330,584,0,623,1093,958,0,1,0,2052,0,above60
2012,municip0516,Nord-Fron,5830,1142,597,0.7556675062972292,652,1887,1447,1,9,0,3344,0.029904306220095694,above60
2012,municip0517,Sel,5992,905,573,0.4458856911228212,637,1880,1488,0,2,0,3370,0,above60
2012,municip0519,Sør-Fron,3208,742,555,0.5778120184899846,620,995,795,2,1,0,1793,0.11154489682097044,above60
2012,municip0520,Ringebu,4561,1248,585,0.6686279753944905,658,1534,1053,1,2,0,2590,0.03861003861003861,above60
2012,municip0521,Øyer,5095,640,611,0.503235082674335,699,1595,1247,0,8,0,2850,0,above60
2012,municip0522,Gausdal,6160,1191,619,8.733186107207388,686,1977,1615,0,10,1,3603,0,above60
2012,municip0528,Østre-Toten,14747,563,607,0.7879893828798938,731,5378,3433,3,19,0,8833,0.03396354579418091,above60
2012,municip0529,Vestre-Toten,12928,250,611,2.1708083404741503,769,4814,2786,0,20,0,7620,0,above60
2012,municip0532,Jevnaker,6483,226,641,1.6272762495156916,778,2130,1549,2,20,0,3701,0.054039448797622264,above60
2012,municip0533,Lunner,8776,292,738,4.633204633204633,785,2920,1794,7,25,0,4746,0.14749262536873156,30to60
2012,municip0534,Gran,13493,757,631,2.7191446216241126,784,4385,2892,3,22,0,7302,0.041084634346754315,above60
2012,municip0536,Søndre-Land,5761,728,553,0.7207971168115328,676,1948,1052,1,5,0,3006,0.0332667997338656,above60
2012,municip0538,Nordre-Land,6768,955,556,0.6698044895003621,683,2437,1462,0,9,0,3908,0,above60
2012,municip0540,Sør-Aurdal,3154,1109,551,0,579,1015,783,0,5,0,1803,0,above60
2012,municip0541,Etnedal,1408,459,449,0,587,480,291,0,2,0,773,0,above60
2012,municip0542,Nord-Aurdal,6428,907,582,0.38080731150038083,672,2059,1552,2,21,3,3637,0.054990376684080286,above60
2012,municip0543,Vestre-Slidre,2232,463,570,0,598,687,550,0,2,0,1239,0,above60
2012,municip0544,Øystre-Slidre,3174,963,612,0.4624277456647399,601,1100,773,0,7,0,1880,0,above60
2012,municip0545,Vang,1617,1505,577,0.8094186902133922,522,530,383,0,5,0,918,0,above60
2012,municip0602,Drammen,64597,138,611,2.0233314209217825,933,20816,14593,121,3932,43,39505,0.30629034299455765,30to60
2012,municip0604,Kongsberg,25479,793,735,0.5245009955805935,850,7739,5701,19,75,1,13535,0.14037680088659032,above60
2012,municip0605,Ringerike,29236,1555,603,1.255003335557038,815,9173,6954,29,109,2,16267,0.1782750353476363,above60
2012,municip0612,Hole,6322,193,761,2.674007078254031,800,1656,1347,11,19,0,3033,0.36267721727662383,30to60
2012,municip0615,Flå,1034,704,548,0,563,298,276,0,1,0,575,0,above60
2012,municip0616,Nes,3452,810,566,0,660,1005,841,0,2,0,1848,0,above60
2012,municip0617,Gol,4581,532,595,0,697,1289,1139,2,7,0,2437,0.08206811653672548,above60
2012,municip0618,Hemsedal,2228,754,611,0,629,542,573,0,0,0,1115,0,above60
2012,municip0619,Ål,4741,1175,614,0.5005268703898841,662,1294,1104,0,3,0,2401,0,above60
2012,municip0620,Hol,4457,1855,603,0.40268456375838924,640,1211,985,2,9,0,2207,0.09062075215224287,above60
2012,municip0621,Sigdal,3535,842,633,0,662,1069,977,0,7,1,2054,0,above60
2012,municip0622,Krødsherad,2186,375,599,0,622,610,597,2,4,0,1213,0.16488046166529266,above60
2012,municip0623,Modum,13116,517,621,0.6859612854726556,812,4248,2885,3,25,0,7161,0.04189359028068706,above60
2012,municip0624,Øvre-Eiker,17421,457,668,0.864740217626288,856,5738,3649,5,48,0,9440,0.05296610169491525,30to60
2012,municip0625,Nedre-Eiker,23262,122,703,1.4255167498218104,897,7409,4090,21,97,1,11618,0.18075400241005338,30to60
2012,municip0626,Lier,24177,302,768,2.714719112877916,896,7251,5050,131,128,2,12562,1.0428275752268747,30to60
2012,municip0627,Røyken,19594,113,820,3.666336960105506,883,5974,3715,83,90,0,9862,0.8416142770229162,30to60
2012,municip0628,Hurum,9185,163,720,4.29190360140807,810,2819,1943,26,26,0,4814,0.540091400083091,30to60
2012,municip0631,Flesberg,2638,562,724,0,703,707,645,0,3,0,1355,0,above60
2012,municip0632,Rollag,1383,449,623,0,588,351,346,0,1,0,698,0,above60
2012,municip0633,Nore-og-Uvdal,2540,2502,586,0.723589001447178,537,709,663,0,3,0,1375,0,above60
2012,municip0701,Horten,26307,70,614,3.1746031746031744,889,8260,4231,26,112,1,12630,0.2058590657165479,above60
2012,municip0704,Tønsberg,40677,107,613,2.952141363319492,891,13464,6947,54,148,5,20618,0.26190707149093023,above60
2012,municip0710,Sandefjord,60776,425,628,2.247329498767461,870,19443,9612,24,231,4,29314,0.08187214300334311,above60
2012,municip0711,Svelvik,6581,58,687,2.4367208160181337,761,2080,1210,2,19,0,3311,0.06040471156750227,30to60
2012,municip0712,Larvik,45360,812,618,2.379064234734338,850,13944,8242,29,163,2,22380,0.12957998212689903,above60
2012,municip0713,Sande,8680,178,734,3.372928581903505,851,2720,1764,11,33,0,4528,0.24293286219081273,30to60
2012,municip0715,Holmestrand,13299,249,651,6.016305875737982,842,4370,2614,9,60,0,7053,0.12760527435133986,above60
2012,municip0716,Re,8936,225,695,3.5724575050417746,821,2939,1641,2,19,0,4601,0.04346881112801565,above60
2012,municip0729,Færder,25808,100,690,3.535548686244204,843,8660,4522,34,94,1,13311,0.2554278416347382,above60
2012,municip0805,Porsgrunn,35219,165,627,1.1718203442003639,860,10931,6442,11,100,1,17485,0.06291106662853875,above60
2012,municip0806,Skien,52509,779,613,0.6835383159886471,846,16426,9828,21,91,0,26366,0.07964803155579155,above60
2012,municip0807,Notodden,12469,919,582,0.39401103230890466,762,3211,3189,2,22,0,6424,0.031133250311332503,above60
2012,municip0811,Siljan,2432,214,764,0.625,666,745,565,1,3,0,1314,0.076103500761035,above60
2012,municip0814,Bamble,14106,304,717,0.8815232722143864,775,4358,2889,3,28,0,7278,0.041220115416323165,above60
2012,municip0815,Kragerø,10710,305,574,1.4818192180553973,741,2801,1979,1,18,0,4799,0.02083767451552407,above60
2012,municip0817,Drangedal,4126,1063,589,1.1459589867310012,633,1371,791,0,2,0,2164,0,above60
2012,municip0819,Nome,6579,430,580,0.40337367070040336,713,2122,1527,1,11,0,3661,0.027314941272876262,above60
2012,municip0821,Bø,5766,263,548,0.36216446527481894,747,1638,1298,3,13,0,2952,0.1016260162601626,above60
2012,municip0822,Sauherad,4314,321,628,0,709,1028,960,1,6,0,1995,0.05012531328320802,above60
2012,municip0826,Tinn,5982,2045,586,0.6882591093117408,599,1525,1337,2,6,0,2870,0.06968641114982578,above60
2012,municip0827,Hjartdal,1602,791,635,0,589,389,453,0,2,1,845,0,above60
2012,municip0828,Seljord,2959,715,614,0,638,843,732,0,15,0,1590,0,above60
2012,municip0829,Kviteseid,2498,708,615,0,608,787,657,0,4,0,1448,0,above60
2012,municip0830,Nissedal,1430,905,659,0,538,389,354,0,1,0,744,0,above60
2012,municip0831,Fyresdal,1335,1281,610,0,466,415,320,0,2,0,737,0,above60
2012,municip0833,Tokke,2287,984,625,0,544,570,574,0,3,0,1147,0,above60
2012,municip0834,Vinje,3700,3106,643,0.4300363876943434,553,950,1021,0,3,0,1974,0,above60
2012,municip0901,Risør,6899,193,580,1.375,704,1945,1368,4,9,2,3328,0.1201923076923077,above60
2012,municip0904,Grimstad,21301,304,663,3.0475392168602564,812,5823,4608,34,47,2,10514,0.323378352672627,above60
2012,municip0906,Arendal,42801,270,633,1.2760378732702111,803,12398,8880,26,100,6,21410,0.12143858010275572,above60
2012,municip0911,Gjerstad,2478,322,601,3.227433182047403,661,734,610,0,3,0,1347,0,above60
2012,municip0912,Vegårshei,1933,356,664,0,583,586,400,0,5,0,991,0,above60
2012,municip0914,Tvedestrand,6019,218,606,1.0480887792848335,711,1891,1249,1,8,0,3149,0.031756113051762465,above60
2012,municip0919,Froland,5257,645,687,1.2119713084343309,701,1621,1250,4,7,0,2882,0.13879250520471895,above60
2012,municip0926,Lillesand,9878,190,754,5.753070458952812,787,2477,2217,17,17,0,4728,0.3595600676818951,above60
2012,municip0928,Birkenes,4828,674,695,3.209277238403452,711,1077,1020,7,7,0,2111,0.33159639981051636,above60
2012,municip0929,Åmli,1825,1131,581,0,574,667,507,0,2,0,1176,0,above60
2012,municip0935,Iveland,1298,262,694,0,634,478,304,0,1,0,783,0,above60
2012,municip0937,Evje-og-Hornnes,3496,550,622,1.094890510948905,691,1001,747,0,9,0,1757,0,above60
2012,municip0938,Bygland,1219,1312,597,1.593625498007968,564,427,288,0,1,0,716,0,above60
2012,municip0940,Valle,1293,1265,610,1.8095238095238095,485,381,309,0,1,0,691,0,above60
2012,municip0941,Bykle,970,1467,695,1.556420233463035,472,248,199,0,2,0,449,0,above60
2012,municip1001,Kristiansand,83243,276,641,1.5031454149528187,857,19681,14920,175,192,3,34971,0.5004146292642475,above60
2012,municip1002,Mandal,15149,222,640,1.1381839642525926,783,3814,3195,12,16,0,7037,0.17052721330112264,above60
2012,municip1003,Farsund,9433,262,679,4.078325455773126,695,3049,1986,1,40,2,5078,0.019692792437967704,above60
2012,municip1004,Flekkefjord,9046,543,694,1.7102335928809789,690,2537,1766,2,27,2,4334,0.046146746654360866,above60
2012,municip1014,Vennesla,13583,384,670,2.2562833206397563,765,4020,2728,3,16,0,6767,0.04433279148810403,above60
2012,municip1017,Songdalen,6165,216,683,2.386934673366834,764,1755,1268,6,11,0,3040,0.19736842105263158,above60
2012,municip1018,Søgne,10855,151,740,2.2302591922845085,785,2753,2248,14,24,0,5039,0.27783290335384003,above60
2012,municip1021,Marnardal,2286,395,666,1.6421291053227633,647,639,562,1,3,0,1205,0.08298755186721991,above60
2012,municip1026,Åseral,912,888,620,0,549,231,269,0,0,0,500,0,above60
2012,municip1027,Audnedal,1689,251,750,0,613,472,450,0,2,0,924,0,above60
2012,municip1029,Lindesnes,4753,316,616,1.0772959870724481,686,1343,1103,1,5,0,2452,0.040783034257748776,above60
2012,municip1032,Lyngdal,7895,391,660,3.2075785275054014,713,2120,1921,1,6,0,4048,0.024703557312252964,above60
2012,municip1034,Hægebostad,1665,461,728,0,600,503,455,0,1,0,959,0,above60
2012,municip1037,Kvinesdal,5834,963,646,1.3819909306845173,657,1817,1340,1,5,0,3163,0.03161555485298767,above60
2012,municip1046,Sirdal,1816,1555,742,1.4736842105263157,602,487,478,0,3,0,968,0,above60
2012,municip1101,Eigersund,14475,432,733,0.6240660982684363,753,3883,2871,6,64,4,6828,0.08787346221441125,above60
2012,municip1102,Sandnes,67814,305,813,1.928899213587981,887,20159,12921,105,300,5,33490,0.3135264257987459,below30
2012,municip1103,Stavanger,127506,71,767,0.8616157485834453,908,35046,22300,207,727,17,58297,0.3550783059162564,city
2012,municip1106,Haugesund,35099,73,625,1.5945651026083283,831,9860,6198,31,85,2,16176,0.19164193867457963,above60
2012,municip1111,Sokndal,3257,295,708,0,664,871,654,2,5,0,1532,0.13054830287206268,above60
2012,municip1112,Lund,3183,408,693,0.4832863471606927,637,781,672,0,4,0,1457,0,above60
2012,municip1114,Bjerkreim,2739,651,877,1.6990291262135921,697,746,672,2,5,1,1426,0.1402524544179523,30to60
2012,municip1119,Hå,17244,258,773,1.894576012223071,786,4528,3839,14,32,0,8413,0.16640912872934743,30to60
2012,municip1120,Klepp,17746,114,833,2.6549332537847716,854,5365,3529,17,41,1,8953,0.18988048698760193,below30
2012,municip1121,Time,16769,184,829,2.5849277625927374,843,5289,3721,19,49,3,9081,0.2092280585838564,30to60
2012,municip1122,Gjesdal,10778,618,884,5.011108368304122,807,3081,2211,20,27,0,5339,0.3746019853905226,30to60
2012,municip1124,Sola,23877,69,899,1.2787584020984752,872,6991,4643,48,92,1,11775,0.40764331210191085,below30
2012,municip1127,Randaberg,10265,25,906,2.6716093570241597,877,2857,1887,34,42,0,4820,0.7053941908713693,below30
2012,municip1129,Forsand,1190,780,833,7.28476821192053,651,350,234,1,1,0,586,0.17064846416382254,above60
2012,municip1130,Strand,11533,218,792,5.5020944186573075,722,3002,2241,39,18,0,5300,0.7358490566037735,above60
2012,municip1133,Hjelmeland,2807,1089,735,2.487333026255182,540,676,578,3,14,0,1271,0.23603461841070023,above60
2012,municip1134,Suldal,3845,1737,666,2.369980250164582,528,925,820,0,8,0,1753,0,above60
2012,municip1135,Sauda,4754,546,625,1.1168831168831168,632,1346,866,1,5,0,2218,0.04508566275924256,above60
2012,municip1141,Finnøy,2955,104,753,4.865556978233035,632,756,512,57,9,0,1334,4.272863568215892,30to60
2012,municip1142,Rennesøy,4388,65,921,7.701786814540974,730,1138,1010,11,14,0,2173,0.5062126092959043,below30
2012,municip1144,Kvitsøy,519,6,723,12.709832134292565,507,153,54,1,1,0,209,0.4784688995215311,above60
2012,municip1145,Bokn,851,47,668,3.8518518518518516,626,234,153,0,3,0,390,0,above60
2012,municip1146,Tysvær,10320,426,820,2.0747422680412373,723,2856,2302,11,19,0,5188,0.21202775636083268,above60
2012,municip1149,Karmøy,40536,230,726,2.5574959442694913,764,12846,7179,37,119,2,20183,0.18332259822622998,above60
2012,municip1151,Utsira,218,6,832,0,315,53,23,1,0,0,77,1.2987012987012987,above60
2012,municip1160,Vindafjord,8447,620,727,2.051901025950513,658,2204,2192,2,10,0,4408,0.045372050816696916,above60
2012,municip1201,Bergen,263762,465,644,1.4086745186016079,902,63464,42000,584,1190,18,107256,0.5444916834489446,city
2012,municip1211,Etne,3963,735,726,1.971383147853736,613,986,1011,0,5,0,2002,0,above60
2012,municip1216,Sveio,5228,246,748,4.394240317775571,679,1364,1196,5,8,0,2573,0.194325689856199,above60
2012,municip1219,Bømlo,11503,246,757,4.589645037304996,645,3141,2209,48,21,0,5419,0.8857722827089869,above60
2012,municip1221,Stord,17957,144,742,2.023681377825619,734,4327,3493,34,27,0,7881,0.43141733282578354,above60
2012,municip1222,Fitjar,2944,142,792,1.593625498007968,593,771,565,6,5,0,1347,0.44543429844098,above60
2012,municip1223,Tysnes,2766,255,610,5.4090299508270006,572,781,520,4,5,0,1310,0.3053435114503817,above60
2012,municip1224,Kvinnherad,13318,1128,682,3.901970206631427,593,3624,2531,36,19,0,6210,0.5797101449275363,above60
2012,municip1227,Jondal,1050,210,612,4.6893317702227435,484,280,251,2,2,0,535,0.37383177570093457,above60
2012,municip1228,Odda,6946,1616,616,0.7478260869565218,659,1709,1603,1,6,1,3320,0.030120481927710843,above60
2012,municip1231,Ullensvang,3417,1399,691,2.203757225433526,532,834,820,0,4,0,1658,0,above60
2012,municip1232,Eidfjord,957,1492,691,0,547,213,224,0,1,0,438,0,above60
2012,municip1233,Ulvik,1112,721,613,6.133625410733845,552,297,239,0,2,0,538,0,above60
2012,municip1234,Granvin,923,213,610,7.682119205298013,591,266,190,3,0,0,459,0.6535947712418301,above60
2012,municip1235,Voss,13978,1806,678,1.3266850681150388,737,3713,2965,11,11,0,6700,0.16417910447761194,above60
2012,municip1238,Kvam,8522,617,680,2.1575441644946425,677,2257,1832,4,21,2,4116,0.09718172983479106,above60
2012,municip1241,Fusa,3811,378,772,4.432505036937542,618,1020,902,7,12,1,1942,0.3604531410916581,above60
2012,municip1242,Samnanger,2417,269,739,3.1887088342916883,690,724,558,0,6,0,1288,0,30to60
2012,municip1243,Os,17726,140,795,2.5142350070250683,788,5124,3508,41,70,2,8745,0.4688393367638651,30to60
2012,municip1244,Austevoll,4792,117,830,2.5882987328120786,595,1162,848,18,24,1,2053,0.8767657087189479,above60
2012,municip1245,Sund,6409,100,818,2.0048602673147022,694,1795,1416,10,26,1,3248,0.3078817733990148,30to60
2012,municip1246,Fjell,22720,148,866,2.444887429643527,814,6376,4615,41,136,0,11168,0.36712034383954156,below30
2012,municip1247,Askøy,26210,101,838,3.5841382816471783,814,6867,5081,44,96,1,12089,0.36396724294813465,below30
2012,municip1251,Vaksdal,4138,716,619,1.9125683060109289,650,1060,825,5,4,0,1894,0.26399155227032733,30to60
2012,municip1252,Modalen,370,412,685,0,527,90,82,0,0,0,172,0,above60
2012,municip1253,Osterøy,7521,255,717,10.554044867437117,712,2033,1605,28,15,0,3681,0.7606628633523499,30to60
2012,municip1256,Meland,7036,93,806,2.758881330309902,768,1837,1472,17,26,0,3352,0.5071599045346062,30to60
2012,municip1259,Øygarden,4419,67,752,1.4907921660333237,695,1180,891,0,28,1,2100,0,30to60
2012,municip1260,Radøy,4952,112,717,1.1224489795918366,677,1434,1127,2,11,0,2574,0.0777000777000777,30to60
2012,municip1263,Lindås,14668,476,786,1.9042581327691086,742,3846,3379,19,47,0,7291,0.26059525442326154,30to60
2012,municip1264,Austrheim,2776,57,741,1.592920353982301,660,700,739,1,7,0,1447,0.0691085003455425,above60
2012,municip1265,Fedje,576,9,641,5.986696230598669,431,138,78,0,0,0,216,0,above60
2012,municip1266,Masfjorden,1683,556,760,5.062362435803375,544,491,392,0,3,0,886,0,above60
2012,municip1401,Flora,11654,692,716,0.6267179769103903,706,2795,2038,1,19,1,4854,0.020601565718994644,above60
2012,municip1411,Gulen,2310,597,638,3.3421750663129974,478,603,475,1,1,0,1080,0.09259259259259259,above60
2012,municip1412,Solund,851,228,620,1.5384615384615385,368,187,125,0,1,0,313,0,above60
2012,municip1413,Hyllestad,1461,259,615,2.443133951137321,505,376,347,1,5,1,730,0.136986301369863,above60
2012,municip1416,Høyanger,4216,908,646,1.3325436778205508,565,1083,935,0,4,1,2023,0,above60
2012,municip1417,Vik,2748,833,640,1.9282511210762332,536,680,633,0,3,0,1316,0,above60
2012,municip1418,Balestrand,1338,430,613,4.025617566331198,547,327,289,0,3,0,619,0,above60
2012,municip1419,Leikanger,2236,180,795,6.335616438356165,617,540,588,1,2,0,1131,0.08841732979664015,above60
2012,municip1420,Sogndal,7348,746,636,4.613824573263478,695,1769,1737,6,21,0,3533,0.16982734220209453,above60
2012,municip1421,Aurland,1712,1468,631,0,543,404,414,0,2,0,820,0,above60
2012,municip1422,Lærdal,2205,1342,723,1.5117581187010078,563,550,586,0,4,0,1140,0,above60
2012,municip1424,Årdal,5572,977,674,0.8543263964950711,606,1389,1416,0,8,0,2813,0,above60
2012,municip1426,Luster,5026,2706,676,2.8098344204716508,582,1425,1247,1,3,0,2676,0.03736920777279522,above60
2012,municip1428,Askvoll,3010,327,691,3.0093533956893044,524,748,627,0,7,0,1382,0,above60
2012,municip1429,Fjaler,2832,417,569,1.1294526498696786,584,698,650,0,4,0,1352,0,above60
2012,municip1430,Gaular,2848,582,733,0.9782125389061805,608,771,706,0,3,0,1480,0,above60
2012,municip1431,Jølster,3052,671,693,0.5847953216374269,576,808,729,1,3,0,1541,0.06489292667099286,above60
2012,municip1432,Førde,12307,586,725,0.5153012935114103,752,3299,2886,4,33,2,6224,0.06426735218508997,above60
2012,municip1433,Naustdal,2710,370,769,0,625,803,615,0,4,0,1422,0,above60
2012,municip1438,Bremanger,3891,832,618,2.13953488372093,491,954,730,0,1,1,1686,0,above60
2012,municip1439,Vågsøy,6129,177,668,0.7758268681094325,632,1613,1241,0,21,3,2878,0,above60
2012,municip1441,Selje,2831,226,704,1.1443661971830985,522,814,672,3,2,0,1491,0.2012072434607646,above60
2012,municip1443,Eid,5950,469,709,2.0887166236003445,640,1545,1406,1,4,1,2957,0.033818058843422386,above60
2012,municip1444,Hornindal,1220,192,715,1.3742071881606766,611,359,267,0,4,0,630,0,above60
2012,municip1445,Gloppen,5679,1031,705,1.8056174765938475,637,1577,1258,4,2,0,2841,0.1407954945441746,above60
2012,municip1449,Stryn,7065,1377,653,0.7547169811320755,616,2049,1585,1,21,0,3656,0.02735229759299781,above60
2012,municip1502,Molde,25488,363,672,2.073388302232509,774,7047,5256,14,78,5,12400,0.11290322580645161,above60
2012,municip1504,Ålesund,44416,99,670,1.1434482373004557,827,12290,8561,38,104,1,20994,0.18100409640849766,above60
2012,municip1505,Kristiansund,23813,88,633,1.61139896373057,766,6074,4754,42,66,2,10938,0.3839824465167307,above60
