"price","area","rooms","standard","situated","town","distcen","age","rent"
1866,204,8,2,3,2,3,22,3030
1064,108,2,2,5,2,2,10,2052
1427,149,5,3,8,2,4,22,2524
1077,120,4,2,3,2,5,22,2242
733,81,3,3,3,2,3,17,2154
1031,119,4,1,4,2,7,32,2260
916,101,3,2,2,2,1,25,2575
940,101,2,2,3,2,4,22,1759
835,89,3,1,6,2,4,30,2062
751,66,2,3,6,2,5,25,639
978,94,3,4,7,2,2,22,1713
427,46,1,2,4,2,5,30,1597
1418,155,5,2,6,2,3,17,3213
800,92,3,2,6,2,3,17,2821
951,91,3,3,5,2,3,37,1418
810,90,4,1,4,2,2,15,2597
541,62,2,3,7,2,4,27,2398
679,76,2,1,3,2,2,30,2247
1551,170,6,2,1,2,1,30,2888
1270,125,4,3,4,2,2,37,1384
814,84,2,2,5,2,3,27,1741
718,83,2,1,5,2,3,32,2750
527,53,2,2,5,2,5,30,1320
751,85,3,2,4,2,4,35,2343
1402,142,5,3,6,2,1,27,2466
1441,167,6,2,6,2,4,12,3739
941,94,3,3,7,2,3,22,1878
769,79,2,2,5,2,3,27,1891
505,48,1,2,5,2,5,25,822
649,69,2,2,6,2,4,20,2215
1018,110,4,2,4,2,1,12,2893
959,91,3,1,4,2,3,12,881
966,118,4,3,4,2,8,27,2716
795,83,2,1,2,2,6,20,1033
1305,140,5,2,4,2,3,17,2402
1390,147,4,2,5,2,4,22,2418
1028,116,4,2,4,2,3,32,2797
688,68,2,2,3,2,0,32,1981
691,72,2,4,8,2,6,22,2019
587,51,2,4,6,2,1,22,1316
1188,117,4,1,7,2,0,17,2416
1127,118,4,0,6,2,3,30,2253
885,94,3,3,5,2,2,40,2352
1113,114,3,2,5,2,1,40,2332
1053,98,3,4,6,2,2,30,1258
1662,183,7,1,5,2,10,17,1684
1064,114,3,1,3,2,7,25,1322
918,91,2,2,5,2,5,25,1126
1075,121,4,2,3,2,2,25,2917
871,94,3,2,3,2,4,27,2003
1522,161,6,4,7,2,0,27,3520
816,87,3,1,5,2,2,30,2353
847,85,3,1,6,2,4,20,1541
683,72,2,2,2,3,4,27,2249
1038,98,2,2,4,3,6,20,1201
1453,125,4,2,7,3,2,25,1398
993,83,2,2,7,3,3,22,1358
1036,84,2,2,6,3,2,17,970
1433,143,5,2,7,3,2,15,3060
1026,93,3,2,3,3,4,20,1392
1097,95,3,4,8,3,0,27,2544
948,83,2,3,6,3,5,10,1348
1439,143,5,3,6,3,5,27,2442
854,81,2,2,4,3,1,20,2486
1298,129,4,2,6,3,4,22,2497
1291,110,4,2,6,3,1,25,1536
1307,119,4,3,6,3,0,32,2220
738,74,2,3,2,3,3,20,2280
1439,133,5,2,6,3,3,25,1790
860,84,2,1,4,3,5,20,1997
556,47,1,1,4,3,4,30,1420
1361,126,4,2,7,3,3,27,1789
958,87,2,3,4,3,1,32,2262
717,59,2,3,8,3,1,27,2442
845,92,3,3,2,3,4,22,3110
698,57,2,2,5,3,2,10,1790
933,83,2,1,5,3,3,15,1630
1375,127,5,3,6,3,1,22,2333
1698,159,6,3,7,3,1,20,2402
804,87,2,2,0,3,3,27,2454
759,80,3,2,5,3,4,27,2722
859,84,2,0,5,3,2,32,2606
795,74,2,2,6,3,1,15,2934
858,68,2,1,7,3,3,20,1200
1409,134,4,2,4,3,2,35,2078
1277,125,4,2,1,3,2,22,2080
1191,120,4,3,3,3,2,27,2813
1581,147,6,0,6,3,0,27,2438
810,72,2,1,2,3,1,15,1785
1069,94,3,2,6,3,1,47,2043
1028,90,2,3,6,3,4,30,1455
1003,88,3,3,8,3,4,25,1919
