country,population,density,urban,religion,lifeexpf,lifeexpm,literacy,pop_incr,babymort,gdp_cap,region,calories,aids,birth_rt,death_rt,aids_rt,log_gdp,lg_aidsr,b_to_d,fertilty,log_pop,cropgrow,lit_male,lit_fema,climate,lit_ratio,main_religion,inv_gdp
Norway,4300,11,75,Protstnt,81,74,99,.4,6.3,17755,OECD,3326,375,13,10,8.720930232558139,4.249320676637634,1.542100089709968,1.3,2,3.633468455579587,3,,,temperate,,Protstnt,.0000563221627711
Sweden,8800,19,84,Protstnt,81,75,99,.52,5.7,16900,OECD,2960,1001,14,11,11.375,4.227886704613674,1.62626112704031,1.272727272727273,2.1,3.944482672150169,7,,,arctic / temp,,Protstnt,.0000591715976331
UK,58400,237,89,Protstnt,80,74,99,.2,7.2,15974,OECD,3149,9025,13,11,15.45376712328767,4.203413680096452,1.72904729462947,1.181818181818182,1.83,4.7664128471124,29,,,temperate,,Protstnt,.0000626017278077
USA,260800,26,75,Protstnt,79,73,97,.99,8.109999999999999,23474,OECD,3671,411907,15,9,157.9398006134969,4.370587100246676,2.752316141109398,1.666666666666667,2.06,5.416307587059882,20,97,97,temperate,1,Protstnt,.0000426003237625
Croatia,4900,85,51,Catholic,77,70,97,-.1,8.699999999999999,5487,East Europe,,56,11,11,1.142857142857143,3.739334960196079,1.027066087089352,1,1.65,3.690196080028514,32,,,mediterranean,,Catholic,.0001822489520685
Czech Rep.,10400,132,,Catholic,77,69,,.21,9.300000000000001,7311,East Europe,3632,48,13,11.1,.4615384615384616,3.863976783904387,.8567252750493096,1.171171171171171,1.84,4.017033339298781,,,,temperate,,Catholic,.0001367801942279
Hungary,10500,111,64,Catholic,76,67,99,-.3,12.5,5249,East Europe,3644,149,12,13,1.419047619047619,3.720076572768141,1.07250516875198,.9230769230769231,1.8,4.021189299069938,51,99,98,temperate,1.010204081632653,Catholic,.0001905124785673
Lithuania,3800,58,69,Catholic,77,68,99,.3,17,6710,East Europe,,5,15,10,.131578947368421,3.826722520168992,.6665569814572619,1.5,2,3.57978359661681,49,99,98,maritime,1.010204081632653,Catholic,.0001490312965723
Poland,38600,123,62,Catholic,77,69,99,.3,13.8,4429,East Europe,,201,14,10,.5207253886010362,3.646305680284759,.8776507949745287,1.4,1.94,4.586587304671755,46,99,98,temperate,1.010204081632653,Catholic,.0002257846014902
Bosnia,4600,87,36,Muslim,78,72,86,.7,12.7,3098,East Europe,,,14,6.39,,3.491081413423187,,2.190923317683881,,3.662757831681574,20,,,temperate,,Muslim,.000322788896062
Belarus,10300,50,65,Orthodox,76,66,99,.32,19,6500,East Europe,,10,13,11,.0970873786407767,3.812913356642856,.6272382797478523,1.181818181818182,1.88,4.012837224705172,29,100,100,temperate,1,Orthodox,.0001538461538462
Bulgaria,8900,79,68,Orthodox,75,69,93,-.2,12,3831,East Europe,,24,13,12,.2696629213483146,3.583312151983078,.7694213748345009,1.083333333333333,1.8,3.949390006644913,34,,,temperate,,Orthodox,.0002610284521013
Georgia,5500,81,56,Orthodox,76,69,99,.8,23,4500,East Europe,,2,16,9,.0363636363636364,3.653212513775344,.5153870016879664,1.777777777777778,2.18,3.740362689494244,,100,100,mediterranean,1,Orthodox,.0002222222222222
Romania,23400,96,54,Orthodox,75,69,96,.06,20.3,2702,East Europe,3155,2736,14,10,11.69230769230769,3.431685344686012,1.635234522133997,1.4,1.82,4.369215857410143,43,,,temperate,,Orthodox,.0003700962250185
Russia,149200,8.800000000000001,74,Orthodox,74,64,99,.2,27,6680,East Europe,,136,13,11,.0911528150134048,3.824776462475546,.6193754923366472,1.181818181818182,1.83,5.17376882313665,8,100,100,arctic / temp,1,Orthodox,.0001497005988024
Ukraine,51800,87,67,Orthodox,75,65,97,.05,20.7,2340,East Europe,,27,12,13,.0517241379310345,3.369215857410143,.5530172168635352,.9230769230769231,1.82,4.714329759745233,56,100,100,temperate,1,Orthodox,.0004273504273504
Estonia,1600,36,72,Protstnt,76,67,99,.52,19,6000,East Europe,,3,14,12,.1875,3.778151250383643,.7154845405526278,1.166666666666667,2,3.204119982655925,22,100,100,maritime,1,Protstnt,.0001666666666667
Latvia,2700,40,71,Protstnt,75,64,99,.5,21.5,7400,East Europe,,8,14,12,.2962962962962963,3.869231719730976,.7840526816831157,1.166666666666667,2,3.431363764158987,27,100,100,maritime,1,Protstnt,.0001351351351351
Cambodia,10000,55,12,Buddhist,52,50,35,2.9,112,260,Pacific/Asia,2166,0,45,16,0,2.414973347970818,0,2.8125,5.81,4,16,48,22,tropical,2.181818181818182,Buddhist,.0038461538461538
Hong Kong,5800,5494,94,Buddhist,80,75,77,-.09,5.8,14641,Pacific/Asia,,99,13,6,1.706896551724138,4.165570740632901,1.112862325545406,2.166666666666667,1.4,3.763427993562937,7,90,64,tropical,1.40625,Buddhist,.0000683013455365
Japan,125500,330,77,Buddhist,82,76,99,.3,4.4,19860,Pacific/Asia,2956,713,11,7,.5681274900398406,4.297979244159363,.8930775263697172,1.571428571428571,1.55,5.098643725817057,13,,,mediterranean,,Buddhist,.0000503524672709
N. Korea,23100,189,60,Buddhist,73,67,99,1.83,27.7,1000,Pacific/Asia,,0,24,5.5,0,3,0,4.363636363636363,2.4,4.363611979892144,18,99,99,temperate,1,Buddhist,.001
Taiwan,20944,582,71,Buddhist,78,72,91,.92,5.1,7055,Pacific/Asia,,,15.6,,,3.848497018090367,,,,4.321059629206681,,,,,,Buddhist,.0001417434443657
Thailand,59400,115,22,Buddhist,72,65,93,1.4,37,1800,Pacific/Asia,2316,5654,19,6,9.518518518518519,3.255272505103306,1.569328535964398,3.166666666666667,2.1,4.773786444981194,34,96,90,tropical,1.066666666666667,Buddhist,.0005555555555556
Vietnam,73100,218,20,Buddhist,68,63,88,1.78,46,230,Pacific/Asia,2233,107,27,8,.146374829001368,2.361727836017593,.6809155937660875,3.375,3.33,4.86391737695786,22,93,83,tropical,1.120481927710843,Buddhist,.0043478260869565
Philippines,69800,221,43,Catholic,68,63,90,1.92,51,867,Pacific/Asia,2375,136,27,7,.197962154294032,2.93801909747621,.7232966177338884,3.857142857142857,3.35,4.843855422623161,26,90,90,tropical,1,Catholic,.0011534025374856
India,911600,283,26,Hindu,59,58,52,1.9,79,275,Pacific/Asia,2229,713,29,10,.0782141290039491,2.439332693830263,.6006991849322073,2.9,4.48,5.959804316508338,55,64,39,mediterranean,1.641025641025641,Other,.0036363636363636
Afghanistan,20500,25,18,Muslim,44,45,29,2.8,168,205,Pacific/Asia,,0,53,22,0,2.311753861055754,0,2.409090909090909,6.9,4.311753861055754,12,44,14,arid,3.142857142857143,Muslim,.0048780487804878
Bangladesh,125000,800,16,Muslim,53,53,35,2.4,106,202,Pacific/Asia,2021,1,35,11,.0008576329331046,2.305351369446624,.24359046806108,3.181818181818182,4.7,5.096910013008056,67,47,22,tropical,2.136363636363636,Muslim,.004950495049505
Indonesia,199700,102,29,Muslim,65,61,77,1.6,68,681,Pacific/Asia,2750,49,24,9,.0245368052078117,2.833147111912785,.476391060171075,2.666666666666667,2.8,5.300378064870703,8,84,68,tropical,1.235294117647059,Muslim,.0014684287812041
Malaysia,19500,58,43,Muslim,72,66,78,2.3,25.6,2995,Pacific/Asia,2774,107,29,5,.5487179487179488,3.47639682672533,.8868901534951755,5.8,3.51,4.290034611362518,3,86,70,tropical,1.228571428571429,Muslim,.0003338898163606
Pakistan,128100,143,32,Muslim,58,57,35,2.8,101,406,Pacific/Asia,,41,42,10,.0320062451209992,2.608526033577194,.5023968935647305,4.2,6.43,5.107549129744687,26,47,21,temperate,2.238095238095238,Muslim,.0024630541871921
S. Korea,45000,447,72,Protstnt,74,68,96,1,21.7,6627,Pacific/Asia,,19,16,6,.0426966292134831,3.821316970591097,.5322047152269848,2.666666666666667,1.65,4.653212513775344,21,99,99,temperate,1,Protstnt,.0001508978421609
China,1205200,124,26,Taoist,69,67,78,1.1,52,377,Pacific/Asia,2639,38,21,7,.0031530036508463,2.576341350205793,.3160420678637044,3,1.84,6.081059123001319,10,87,68,temperate,1.279411764705882,Other,.0026525198938992
Singapore,2900,4456,100,Taoist,79,73,88,1.2,5.7,14990,Pacific/Asia,3198,75,16,6,2.586206896551724,4.175801632848279,1.209296102312509,2.666666666666667,1.88,3.462397997898956,4,93,84,tropical,1.107142857142857,Other,.0000667111407605
South Africa,43900,35,49, ,68,62,76,2.6,47.1,3128,Africa,,3210,34,8,7.79126213592233,3.49526674438781,1.507723011525516,4.25,4.37,4.642464520242122,10,,,arid / desert,,Other,.0003196930946292
Burkina Faso,10000,36,15,Animist,50,47,18,2.81,118,357,Africa,2288,4193,47,18,41.93,2.552668216112193,2.111081366622872,2.611111111111111,6.94,4,10,28,9,tropical,3.111111111111111,Other,.0028011204481793
Cameroon,13100,27,40,Animist,58,55,54,2.9,77,993,Africa,2217,3072,41,12,23.45038167938931,2.996949248495381,1.879446566933885,3.416666666666667,5.7,4.117271295655764,13,66,45,4,1.466666666666667,Other,.0010070493454179
Liberia,2900,29,45,Animist,57,54,40,3.3,113,409,Africa,2382,191,43,12,6.586206896551724,2.611723308007342,1.457897777408931,3.583333333333333,6.8,3.462397997898956,1,50,29,tropical,1.724137931034483,Other,.0024449877750611
Tanzania,29800,29,21,Animist,45,41,46,2.5,110,263,Africa,2206,38719,46,19,129.9295302013423,2.419955748489758,2.646924620802851,2.421052631578947,6.2,4.474216264076255,5,62,31,mediterranean,2,Other,.0038022813688213
Burundi,6000,216,5,Catholic,50,46,50,2.26,105,208,Africa,1932,7225,44,21,120.4166666666667,2.318063334962762,2.606977723802464,2.095238095238095,6.8,3.778151250383643,43,61,40,temperate,1.525,Catholic,.0048076923076923
Gabon,1300,4.2,46,Catholic,58,52,61,1.46,94,4283,Africa,2383,472,28,14,36.30769230769231,3.631748074396569,2.05116090015333,2,3.97,3.113943352306837,1,74,48,tropical,1.541666666666667,Catholic,.000233481204763
Kenya,28200,49,24,Catholic,55,51,69,3.07,74,323,Africa,2163,30126,42,11,111.5777777777778,2.509202522331103,2.56753008725122,3.818181818181818,5.91,4.450249108319361,3,80,58,4,1.379310344827586,Catholic,.0030959752321981
Rwanda,8400,311,6,Catholic,46,43,50,2.8,117,292,Africa,1971,10706,49,21,137.2564102564102,2.465382851448418,2.676125813991706,2.333333333333333,8.19,3.924279286061882,29,64,37,temperate,1.72972972972973,Catholic,.0034246575342466
Uganda,19800,76,11,Catholic,43,41,48,2.42,112,325,Africa,2153,43875,49,24,221.5909090909091,2.511883360978874,2.945170134357606,2.041666666666667,6.77,4.296665190261531,23,62,35,tropical,1.771428571428571,Catholic,.0030769230769231
Ethiopia,55200,47,12,Muslim,54,51,24,3.1,110,122,Africa,1667,12958,45,14,23.47463768115942,2.086359830674748,1.879835208875636,3.214285714285714,6.81,4.741939077729199,12,32,16,tropical,2,Muslim,.0081967213114754
Gambia,959,86,23,Muslim,52,48,27,3.1,124,351,Africa,,277,46,16,25.18181818181818,2.545307116465824,1.90641486974045,2.875,6.29,2.981818607170664,16,39,16,tropical,2.4375,Muslim,.0028490028490028
Morocco,28600,63,46,Muslim,70,66,50,2.12,50,1062,Africa,,196,29,6,.6853146853146853,3.02612451674545,.9272097881670937,4.833333333333333,3.83,4.456366033129043,18,61,38,mediterranean,1.605263157894737,Muslim,.0009416195856874
Nigeria,98100,102,35,Muslim,57,54,51,3.1,75,282,Africa,2312,1148,44,12,.9622799664710813,2.450249108319361,.9923395231218981,3.666666666666667,6.4,4.991669007379948,31,62,40,tropical,1.55,Muslim,.0035460992907801
Senegal,8700,43,40,Muslim,58,55,38,3.1,76,744,Africa,2369,911,43,12,11.10975609756098,2.871572935545879,1.618605101705229,3.583333333333333,6.1,3.939519252618619,27,52,25,tropical,2.08,Muslim,.0013440860215054
Somalia,6667,10,24,Muslim,55,54,24,3.2,126,2126,Africa,1906,13,46,13,.1326530612244898,3.327563260187278,.6676417015695771,3.538461538461538,7.25,3.823930455125564,2,36,14,desert,2.571428571428572,Muslim,.0004703668861712
Cent. Afri.R,3300,5,47,Protstnt,44,41,27,2.4,137,457,Africa,2036,3730,44,21,113.030303030303,2.65991620006985,2.57418039497038,2.1,5.42,3.518513939877888,3,33,15,tropical,2.2,Protstnt,.0021881838074398
Zambia,9100,11,42,Protstnt,45,44,73,2.8,85,573,Africa,2077,29734,46,18,326.7472527472527,2.75815462196739,3.183042145208548,2.555555555555555,6.68,3.959041392321093,7,81,65,tropical,1.246153846153846,Protstnt,.0017452006980803
Botswana,1359,2.4,25,Tribal,66,60,72,2.7,39.3,2677,Africa,2375,1415,32,8,101.0714285714286,3.427648371186933,2.517246124139866,4,5.1,3.133219456732494,2,32,16,4,2,Other,.000373552484124
Israel,5400,238,92,Jewish,80,76,92,2.22,8.6,13066,Middle East,,279,21,7,5.166666666666667,4.116142653853793,1.388807613599499,3,2.83,3.732393759822969,17,95,89,temperate,1.067415730337079,Other,.0000765345170672
Azerbaijan,7400,86,54,Muslim,75,67,98,1.4,35,3000,Middle East,,,23,7,,3.477121254719663,,3.285714285714286,2.8,3.869231719730976,18,100,100,arid,1,Muslim,.0003333333333333
Bahrain,600,828,83,Muslim,74,71,77,2.4,25,7875,Middle East,,13,29,4,2.166666666666667,3.896250562461638,1.167235319329693,7.25,3.96,2.778151250383643,2,55,55,arid,1,Muslim,.0001269841269841
Egypt,60000,57,44,Muslim,63,60,48,1.95,76.40000000000001,748,Middle East,3336,91,29,9,.1516666666666667,2.873901597864462,.6857692831665101,3.222222222222222,3.77,4.778151250383644,3,63,34,desert,1.852941176470588,Muslim,.0013368983957219
Iran,65600,39,57,Muslim,67,65,54,3.46,60,1500,Middle East,3181,92,42,8,.1455696202531646,3.176091259055681,.6801647957924835,5.25,6.33,4.81690383937566,8,64,43,arid / desert,1.488372093023256,Muslim,.0006666666666667
Iraq,19900,44,72,Muslim,68,65,60,3.7,67,1955,Middle East,2887,26,44,7,.1306532663316583,3.291146761731885,.6656164619123155,6.285714285714286,6.71,4.298853076409706,12,70,49,desert,1.428571428571429,Muslim,.0005115089514066
Jordan,3961,42,68,Muslim,74,70,80,3.3,34,1157,Middle East,2634,31,39,5,.7045454545454546,3.06333335895175,.9323560718796039,7.8,5.64,3.597804842404293,4,89,70,arid / desert,1.271428571428571,Muslim,.0008643042350908
Kuwait,1800,97,96,Muslim,78,73,73,5.24,12.5,6818,Middle East,3195,10,28,2,.5555555555555556,3.833656996892872,.8890895361322,14,4,3.255272505103306,0,77,67,arid / desert,1.149253731343284,Muslim,.0001466705778821
Lebanon,3620,343,84,Muslim,71,67,80,2,39.5,1429,Middle East,,72,27,7,2.482758620689655,3.15503222879097,1.19946312134964,3.857142857142857,3.39,3.558708570533166,21,88,73,mediterranean,1.205479452054794,Muslim,.0006997900629811
Libya,5500,2.8,82,Muslim,65,62,64,3.7,63,5910,Middle East,3324,10,45,8,.1818181818181818,3.771587480881256,.7110947333604484,5.625,6.4,3.740362689494244,2,75,50,mediterranean,1.5,Muslim,.0001692047377327
Oman,1900,7.8,11,Muslim,70,66,,3.46,36.7,7467,Middle East,,33,40,5,1.736842105263158,3.873146151328255,1.11673998861555,8,6.53,3.278753600952829,2,,,desert,,Muslim,.0001339225927414
Saudi Arabia,18000,7.7,77,Muslim,70,66,62,3.2,52,6651,Middle East,2874,61,38,6,.3388888888888889,3.822886947834151,.8053997045965725,6.333333333333333,6.67,4.255272505103306,1,73,48,desert,1.520833333333333,Muslim,.0001503533303263
Syria,14900,74,50,Muslim,68,65,64,3.7,43,2436,Middle East,,26,44,6,.1857142857142857,3.386677283960838,.7141164912655598,7.333333333333333,6.65,4.173186268412274,28,78,51,desert,1.529411764705882,Muslim,.0004105090311987
Turkey,62200,79,61,Muslim,73,69,81,2.02,49,3721,Middle East,3236,130,26,6,.2103559870550162,3.570659670021534,.7321346737572918,4.333333333333333,3.21,4.793790384690818,30,90,71,temperate,1.267605633802817,Muslim,.000268744961032
U.Arab Em.,2800,32,81,Muslim,74,70,68,4.8,22,14193,Middle East,,8,28,3,.4705882352941176,4.152074202768228,.8600589371824422,9.333333333333334,4.5,3.447158031342219,0,70,63,desert,1.111111111111111,Muslim,.0000704572676672
Uzbekistan,22600,50,41,Muslim,72,65,97,2.13,53,1350,Middle East,,2,30,7,.0090497737556561,3.130333768495006,.3902361914022194,4.285714285714286,3.73,4.354108439147401,10,100,100,arid / desert,1,Muslim,.0007407407407407
Armenia,3700,126,68,Orthodox,75,68,98,1.4,27,5000,Middle East,,2,23,6,.0540540540540541,3.698970004336019,.5579119379122498,3.833333333333333,3.19,3.568201724066995,17,100,100,,1,Orthodox,.0002
Argentina,33900,12,86,Catholic,75,68,95,1.3,25.6,3408,Latin America,3113,3904,20,9,11.51622418879056,3.532499586094663,1.630279329666626,2.222222222222222,2.8,4.530199698203083,9,96,95,temperate,1.010526315789474,Catholic,.0002934272300469
Bolivia,7900,6.9,51,Catholic,64,59,78,2.7,75,730,Latin America,1916,87,34,9,1.10126582278481,2.863322860120456,1.019479347387329,3.777777777777778,4.21,3.897627091290441,3,85,71,4,1.197183098591549,Catholic,.0013698630136986
Brazil,156600,18,75,Catholic,67,57,81,1.28,66,2354,Latin America,2751,49312,21,9,31.48914431673052,3.371806458507416,1.993573131841401,2.333333333333333,2.7,5.194791757721925,7,82,80,tropical,1.025,Catholic,.0004248088360238
Chile,14000,18,85,Catholic,78,71,93,1.7,14.6,2591,Latin America,2581,831,23,6,5.935714285714286,3.413467412985825,1.42788949211559,3.833333333333333,2.5,4.146128035678238,7,94,93,temperate,1.010752688172043,Catholic,.0003859513701274
Colombia,35600,31,70,Catholic,75,69,87,2,28,1538,Latin America,2598,4583,24,6,12.87359550561798,3.186956335465412,1.667016781711394,4,2.47,4.551449997972875,4,88,86,tropical,1.023255813953488,Catholic,.0006501950585176
Costa Rica,3300,64,47,Catholic,79,76,93,2.3,11,2031,Latin America,2808,587,26,4,17.78787878787879,3.307709923404807,1.77838109215967,6.5,3.1,3.518513939877888,6,93,93,tropical,1,Catholic,.000492368291482
Cuba,11100,99,74,Catholic,78,74,94,.95,10.2,1382,Latin America,,245,17,7,2.207207207207207,3.14050804303818,1.17157102185757,2.428571428571428,1.9,4.045322978786658,23,95,93,tropical,1.021505376344086,Catholic,.0007235890014472
Domincan R.,7800,159,60,Catholic,70,66,83,1.8,51.5,1034,Latin America,2359,2353,25,6,30.16666666666667,3.014520538757924,1.976539349844258,4.166666666666667,2.8,3.89209460269048,23,85,82,tropical,1.036585365853659,Catholic,.0009671179883946
Ecuador,10700,39,56,Catholic,73,67,88,2.01,39,1085,Latin America,2531,381,26,6,3.371681415929204,3.035429738184548,1.275173580972168,4.333333333333333,3.08,4.02938377768521,6,90,86,tropical,1.046511627906977,Catholic,.0009216589861751
El Salvador,5800,246,44,Catholic,69,64,73,2.04,41,1078,Latin America,2317,530,33,7,9.636363636363637,3.03261876085072,1.573195284634604,4.714285714285714,3.78,3.763427993562937,27,76,70,tropical,1.085714285714286,Catholic,.0009276437847866
Guatemala,10300,97,39,Catholic,67,62,55,2.58,57,1342,Latin America,2235,499,35,8,4.844660194174757,3.127752515832973,1.371048014527829,4.375,4.76,4.012837224705172,12,63,47,tropical,1.340425531914894,Catholic,.0007451564828614
Haiti,6500,231,29,Catholic,47,43,53,1.63,109,383,Latin America,2013,4987,40,19,71.24285714285715,2.583198773968623,2.347190104912853,2.105263157894737,5.94,3.812913356642856,20,59,47,tropical,1.25531914893617,Catholic,.0026109660574413
Honduras,5600,46,44,Catholic,70,65,73,2.73,45,1030,Latin America,2247,3473,35,6,62.01785714285715,3.012837224705172,2.282986541421641,5.833333333333333,4.9,3.7481880270062,14,76,71,4,1.070422535211268,Catholic,.0009708737864078
Mexico,91800,46,73,Catholic,77,69,87,1.9,35,3604,Latin America,3052,18353,28,5,19.99237472766885,3.556784782307025,1.820425358871531,5.6,3.2,4.962842681201242,12,90,85,arid,1.058823529411765,Catholic,.0002774694783574
Nicaragua,4100,33,60,Catholic,67,61,57,2.68,52.5,447,Latin America,2265,66,35,7,1.534883720930233,2.650307523131937,1.089469548752426,5,4.33,3.612783856719735,9,57,57,tropical,1,Catholic,.0022371364653244
Panama,2600,34,53,Catholic,78,71,88,1.94,16.5,2397,Latin America,2539,644,25,5,24.76923076923077,3.379668034033654,1.900126451951675,5,2.9,3.414973347970818,6,88,88,tropical,1,Catholic,.0004171881518565
Paraguay,5200,11,48,Catholic,75,72,90,2.7,25.2,1500,Latin America,2757,77,33,4.5,1.604166666666667,3.176091259055681,1.099132115178084,7.333333333333333,4.3,3.716003343634799,20,92,88,mediterranean,1.045454545454545,Catholic,.0006666666666667
Peru,23650,18,70,Catholic,67,63,85,2,54,1107,Latin America,2186,1068,26,7,4.663755458515284,3.044147620878723,1.360652281058508,3.714285714285714,3.11,4.37383114507383,3,92,79,arid,1.164556962025316,Catholic,.000903342366757
Uruguay,3200,18,89,Catholic,77,71,96,.8,17,3131,Latin America,2653,469,17,10,14.65625,3.495683067616915,1.710821001496878,1.7,2.44,3.505149978319906,8,97,96,temperate,1.010416666666667,Catholic,.0003193867773874
Venezuela,20600,22,91,Catholic,76,70,88,2.16,28,2829,Latin America,2582,3511,26,5,16.48356807511737,3.451632947456991,1.751500417621399,5.2,3.05,4.313867220369153,3,90,87,tropical,1.03448275862069,Catholic,.0003534817956875
Barbados,256,605,45,Protstnt,78,73,99,.21,20.3,6950,Latin America,,418,16,8.4,139.3333333333333,3.841984804590114,2.68417610210946,1.904761904761905,1.78,2.40823996531185,77,99,99,tropical,1,Protstnt,.0001438848920863
