"obs","wage","female","nonwhite","union","education","exper","age","wind","femalenonw"
74,2.13000011444092,1,0,0,12,12,30,0,0
75,9.61999988555908,0,1,0,12,21,39,1,0
76,20.2000007629395,1,0,0,18,21,45,1,0
77,14.4300003051758,1,0,0,20,2,28,1,0
78,35.8300018310547,0,0,0,20,20,46,1,0
79,16.6700000762939,1,0,0,14,11,31,0,0
80,23.0799999237061,0,0,1,18,25,49,1,0
81,4.25,0,0,0,14,7,27,0,0
82,5.5,1,0,0,12,25,43,0,0
83,15.5900001525879,0,0,0,12,36,54,0,0
84,6.94000005722046,1,1,0,14,26,46,1,1
85,25,1,0,0,14,30,50,0,0
86,5,0,0,0,12,3,21,0,0
87,15.6800003051758,1,0,1,16,21,43,1,0
88,9.52999973297119,1,1,0,12,19,37,1,1
89,11,0,0,0,12,7,25,0,0
90,4.25,1,0,0,12,0,18,0,0
91,4,1,1,0,12,34,52,0,1
92,8.25,0,0,0,12,15,33,0,0
93,22,0,0,1,12,15,33,0,0
94,5.15000009536743,1,0,0,12,1,19,0,0
95,4.69999980926514,0,0,0,16,1,23,0,0
96,8,0,0,0,1,26,33,0,0
97,12,0,1,1,11,32,49,0,0
98,2,1,0,0,5,14,25,1,0
99,5,0,0,0,9,12,27,1,0
100,7,0,0,0,12,3,21,0,0
101,12,0,0,1,5,30,41,0,0
102,17.4899997711182,0,0,0,12,14,32,1,0
103,6.75,0,1,0,10,9,25,1,0
104,6.5,1,1,0,14,5,25,0,1
105,4.5,1,0,0,1,26,33,0,0
106,8.64999961853027,1,1,0,16,18,40,1,1
107,10,0,0,0,9,8,23,0,0
108,5.5,1,0,0,1,20,27,0,0
109,7.5,0,0,0,12,2,20,0,0
110,3.5699999332428,1,0,0,16,1,23,1,0
111,18.25,1,1,1,16,21,43,1,1
112,16,0,0,0,14,26,46,0,0
113,25,0,0,1,18,33,57,1,0
114,12,1,0,0,12,41,59,0,0
115,15.3500003814697,1,0,0,12,22,40,1,0
116,16.6700000762939,1,0,0,12,28,46,0,0
117,6.25,0,0,1,12,38,56,0,0
118,4.25,1,0,0,12,37,55,0,0
119,17.2999992370605,0,0,0,16,15,37,1,0
120,20.8299999237061,0,0,1,12,38,56,1,0
121,18.4599990844727,0,0,1,16,30,52,1,0
122,10,0,0,0,10,2,18,0,0
123,11.5500001907349,0,0,0,12,15,33,1,0
124,11,1,0,0,14,7,27,0,0
125,15.8900003433228,1,0,0,16,24,46,1,0
126,23.0799999237061,0,1,0,16,14,36,1,0
127,4.25,1,0,0,5,22,33,0,0
128,5,0,0,0,7,7,20,0,0
129,17.4500007629395,1,0,0,12,23,41,1,0
130,12.8199996948242,1,0,0,16,25,47,1,0
131,6.80000019073486,0,1,0,12,2,20,0,0
132,4.25,1,0,0,10,5,21,0,0
133,8.64999961853027,1,1,0,12,38,56,1,1
134,8,1,0,1,12,36,54,0,0
135,13.25,1,0,0,14,25,45,0,0
136,6.75,0,0,0,12,17,35,0,0
137,5.5,1,0,0,1,24,31,0,0
138,7.5,0,0,0,12,19,37,1,0
139,9.25,1,0,0,16,21,43,1,0
140,29.1200008392334,0,0,0,16,22,44,1,0
141,24.75,0,0,0,16,19,41,1,0
142,8.96000003814697,1,0,1,12,41,59,0,0
143,8,0,0,0,12,6,24,0,0
144,7,1,0,0,12,1,19,0,0
145,17.2999992370605,1,0,1,16,37,59,1,0
146,12.0299997329712,0,0,0,12,10,28,1,0
147,9,0,1,1,16,4,26,0,0
148,5.5,0,0,0,12,0,18,0,0
149,4.44999980926514,1,0,0,11,1,18,0,0
150,6.05999994277954,1,0,1,12,1,19,1,0
151,21.6299991607666,0,0,0,16,12,34,1,0
152,5.82999992370605,0,0,0,12,2,20,1,0
153,43.25,0,0,0,18,13,37,1,0
154,37.5,0,0,0,12,22,40,1,0
155,8.1899995803833,0,0,0,12,13,31,0,0
156,21.6299991607666,0,0,0,16,12,34,1,0
157,6,1,0,0,12,17,35,0,0
158,9.75,1,0,0,16,7,29,0,0
159,8.64999961853027,1,0,0,16,10,32,1,0
160,7,1,0,0,12,24,42,0,0
161,6,0,0,0,7,24,37,0,0
162,10,1,0,1,12,7,25,0,0
163,12.5,1,0,0,12,13,31,0,0
164,25.4799995422363,1,0,1,18,30,54,1,0
165,5,1,0,0,12,4,22,0,0
166,14.4300003051758,1,1,0,16,5,27,1,1
167,24.4699993133545,1,0,0,16,33,55,1,0
168,28.8500003814697,0,0,1,20,23,49,1,0
169,42.7299995422363,0,0,0,20,13,39,1,0
170,7,0,1,0,16,15,37,0,0
171,9,1,1,0,16,23,45,0,1
172,7,0,1,0,12,3,21,0,0
173,18,0,0,0,12,22,40,0,0
174,18,0,0,0,12,22,40,0,0
175,13.5500001907349,1,0,1,16,24,46,1,0
176,9.30000019073486,1,0,0,12,20,38,0,0
177,14.2399997711182,0,0,0,16,17,39,1,0
178,18,1,0,0,18,9,33,0,0
179,9.09000015258789,1,0,0,12,16,34,1,0
180,17.6399993896484,1,0,0,12,13,31,1,0
181,11.5299997329712,1,0,0,16,14,36,1,0
182,19.1499996185303,0,0,1,14,11,31,0,0
183,12.1999998092651,1,0,0,12,15,33,0,0
184,14.4399995803833,0,0,0,12,7,25,1,0
185,15,1,0,0,16,29,51,0,0
186,9.53999996185303,1,0,0,12,27,45,0,0
187,17.4500007629395,0,0,0,12,23,41,0,0
188,24,1,0,0,14,16,36,0,0
189,14.4300003051758,0,0,0,18,8,32,1,0
190,16.3500003814697,0,0,0,16,8,30,1,0
191,5,1,0,0,12,6,24,0,0
192,18.7000007629395,1,0,0,16,11,33,0,0
193,8,0,0,0,12,47,65,0,0
194,18.75,0,0,1,12,16,34,0,0
195,5.5,1,0,0,12,1,19,0,0
196,4.92000007629395,1,0,0,12,40,58,1,0
197,7,1,0,0,16,1,23,0,0
198,4.5,0,0,0,12,4,22,0,0
199,8.19999980926514,1,0,0,12,33,51,0,0
200,17.25,0,0,0,12,27,45,0,0
201,12.0299997329712,1,0,0,12,12,30,1,0
202,18.2000007629395,1,0,0,12,18,36,0,0
203,2.85999989509583,1,0,0,12,13,31,1,0
204,12,0,0,0,7,29,42,0,0
205,14.6999998092651,1,0,0,14,22,42,1,0
206,24,0,0,1,12,33,51,0,0
207,14.4200000762939,1,0,0,14,13,33,0,0
208,9,1,0,1,12,24,42,0,0
209,19.7199993133545,0,0,0,16,23,45,0,0
210,8,1,0,0,18,13,37,0,0
211,12,0,0,0,12,9,27,0,0
212,13.1599998474121,1,0,0,12,4,22,1,0
213,11.25,0,0,0,12,12,30,1,0
214,18,0,0,1,12,18,36,0,0
215,13.5,0,0,0,16,3,25,0,0
216,8.75,0,0,0,12,6,24,0,0
217,12.7200002670288,0,0,0,16,18,40,0,0
218,11.3100004196167,1,0,0,14,10,30,0,0
219,6,1,0,0,12,0,18,0,0
220,9,0,0,0,12,7,25,0,0
221,21.4699993133545,0,0,0,16,8,30,1,0
222,5,0,1,0,12,12,30,0,0
223,12.5,1,1,0,12,42,60,1,1
224,25.4799995422363,1,1,0,20,27,53,1,1
225,14.4099998474121,0,1,1,12,22,40,0,0
226,10.1000003814697,0,1,1,16,4,26,1,0
227,7.19999980926514,0,1,0,12,5,23,1,0
228,14.3999996185303,1,1,0,12,19,37,1,1
229,9.10000038146973,1,1,1,12,32,50,0,1
230,23.0799999237061,0,0,0,20,3,29,1,0
231,7,1,0,0,16,3,25,0,0
232,19.2800006866455,0,0,0,12,15,33,0,0
233,8.71000003814697,1,0,0,12,17,35,1,0
234,9.38000011444092,1,0,0,12,43,61,1,0
235,12,0,0,0,9,23,38,0,0
236,13,0,0,0,12,10,28,0,0
237,9.63000011444092,0,0,0,12,15,33,1,0
238,16.4500007629395,1,0,0,16,41,63,1,0
239,5,1,0,0,12,20,38,1,0
240,20.8299999237061,1,0,0,14,26,46,1,0
241,7,0,1,0,12,8,26,0,0
242,10,0,0,0,12,6,24,0,0
243,13,0,1,0,12,44,62,0,0
244,22,0,0,0,12,22,40,1,0
245,8,0,0,0,14,2,22,0,0
246,6,0,0,0,12,22,40,0,0
247,23.0900001525879,1,0,0,20,17,43,1,0
248,19.2299995422363,1,0,0,16,27,49,1,0
249,8,0,0,0,14,4,24,0,0
250,11.1099996566772,0,0,0,12,14,32,1,0
251,4.59999990463257,1,1,1,5,43,54,0,1
252,11.8199996948242,0,0,0,14,37,57,1,0
253,4.55000019073486,0,0,0,12,5,23,0,0
254,10,0,0,0,12,19,37,0,0
255,7.40999984741211,1,1,0,10,29,45,0,1
256,28.8299999237061,0,0,0,16,21,43,1,0
257,4.5,1,0,0,11,1,18,0,0
258,11,0,0,0,12,16,34,0,0
259,10.0799999237061,1,0,0,12,39,57,1,0
260,9.05000019073486,1,0,0,12,38,56,0,0
261,8,1,1,0,12,9,27,0,1
262,5.15000009536743,1,1,0,12,2,20,0,1
263,5,0,1,0,12,3,21,0,0
264,12.0299997329712,1,0,0,12,6,24,1,0
265,16.8299999237061,1,0,0,16,25,47,1,0
266,2.09999990463257,1,0,0,18,27,51,0,0
267,28.2299995422363,0,0,0,20,24,50,1,0
268,7,0,0,0,9,17,32,0,0
269,6,1,1,0,12,5,23,0,1
270,10.1000003814697,1,0,0,18,15,39,1,0
271,18,1,0,0,14,6,26,0,0
272,6.75,1,0,0,12,22,40,0,0
273,11.210000038147,1,0,1,12,11,29,0,0
274,10,0,0,0,12,31,49,0,0
275,5,1,1,0,11,39,56,0,1
276,15,1,0,0,12,15,33,1,0
277,14.0900001525879,0,0,0,12,19,37,1,0
278,6.92999982833862,1,0,0,12,10,28,1,0
279,6.73999977111816,1,1,0,12,20,38,0,1
280,16,0,0,0,14,17,37,0,0
281,6.25,1,0,0,11,34,51,1,0
282,10,0,0,0,14,32,52,1,0
283,9.57999992370605,1,0,0,12,14,32,0,0
284,21.1499996185303,1,0,0,18,15,39,1,0
285,6.5,0,0,0,9,3,18,0,0
286,8.02999973297119,1,0,0,7,38,51,0,0
287,24.0300006866455,0,0,0,14,36,56,1,0
288,12.9799995422363,0,0,0,16,23,45,1,0
289,23.3999996185303,0,0,0,20,6,32,1,0
290,15.8800001144409,1,1,0,12,15,33,1,1
291,11.7799997329712,0,0,0,12,41,59,1,0
292,7,1,0,0,12,39,57,0,0
293,15.1000003814697,0,0,0,16,16,38,0,0
294,21,1,0,0,14,25,45,0,0
295,5.5,1,1,0,16,10,32,0,1
296,9.31999969482422,0,1,1,12,12,30,0,0
297,14.4300003051758,1,1,0,12,29,47,1,1
298,4,0,1,0,1,33,40,0,0
299,8.75,0,0,0,9,31,46,0,0
300,8.5,0,0,0,9,7,22,0,0
301,8,0,0,0,7,30,43,0,0
302,25,0,1,0,20,2,28,1,0
303,24.0300006866455,0,0,0,18,24,48,1,0
304,6,1,0,0,14,36,56,1,0
305,5.82000017166138,0,1,0,12,11,29,0,0
306,15,0,0,0,12,15,33,0,0
307,11.5,1,1,1,16,29,51,0,1
308,24.0300006866455,0,1,1,14,40,60,1,0
309,4.25,1,1,0,12,9,27,0,1
310,8.64999961853027,1,1,0,10,8,24,1,1
311,5.5,0,1,0,12,1,19,0,0
312,19.1900005340576,0,1,1,12,39,57,0,0
313,19.1000003814697,1,0,1,18,26,50,1,0
314,14,0,1,0,12,26,44,0,0
315,4.44000005722046,0,0,0,16,15,37,1,0
316,16.8299999237061,1,0,0,18,28,52,1,0
317,7,1,0,0,12,24,42,0,0
318,23.1700000762939,0,0,0,12,37,55,0,0
319,10.9799995422363,0,0,0,12,11,29,0,0
320,5.25,0,1,0,12,0,18,0,0
321,17.2999992370605,0,0,0,14,26,46,1,0
322,7.17999982833862,1,0,1,12,21,39,0,0
323,6.25,0,0,0,16,22,44,1,0
324,7,1,0,0,12,46,64,0,0
325,11.539999961853,1,0,1,12,35,53,1,0
326,7.30000019073486,1,0,0,12,0,18,0,0
327,7,1,0,0,16,3,25,0,0
328,8,0,0,0,12,8,26,0,0
329,7,0,0,1,12,41,59,0,0
330,5.5,1,1,0,12,2,20,0,1
331,10,1,1,0,12,9,27,0,1
332,40,0,0,0,18,41,65,1,0
333,11.539999961853,1,0,0,16,3,25,1,0
334,14.4300003051758,1,0,0,12,6,24,1,0
335,22.5,0,0,0,18,3,27,1,0
336,8.42000007629395,1,0,0,12,23,41,1,0
337,13.75,0,0,0,12,36,54,0,0
338,5.34000015258789,1,0,0,12,32,50,0,0
339,12.0299997329712,0,1,0,12,8,26,1,0
340,7,1,1,1,12,7,25,0,1
341,5.09999990463257,0,0,0,5,36,47,0,0
342,12.5,1,0,0,18,0,24,1,0
343,16,1,0,0,16,9,31,0,0
344,25,0,0,1,12,24,42,0,0
345,12.9799995422363,0,0,1,12,37,55,1,0
346,6.92000007629395,1,0,0,1,26,33,0,0
347,9.38000011444092,1,1,0,18,9,33,1,1
348,37.5,0,0,0,16,35,57,1,0
349,19.2299995422363,0,0,0,20,12,38,0,0
350,11.1899995803833,1,0,0,16,29,51,1,0
351,11.5,1,0,0,12,29,47,0,0
352,14.6400003433228,1,0,0,14,12,32,1,0
353,25,0,0,1,14,30,50,0,0
354,9,0,0,0,11,13,30,0,0
355,14.9099998474121,1,0,0,12,20,38,1,0
356,8.5,0,0,0,14,2,22,1,0
357,21.1599998474121,0,0,0,16,9,31,1,0
358,17.0499992370605,1,0,0,18,23,47,1,0
359,6.09999990463257,1,0,0,12,6,24,0,0
360,15.9499998092651,0,0,0,16,14,36,1,0
361,9.78999996185303,0,0,1,12,21,39,0,0
362,14.1599998474121,1,0,0,16,9,31,1,0
363,28.3799991607666,0,0,0,14,31,51,1,0
364,5.5,0,0,0,1,25,32,0,0
365,5,0,0,1,12,9,27,0,0
366,11.5299997329712,1,0,0,12,26,44,1,0
367,16,0,0,0,16,7,29,0,0
368,33.2200012207031,0,0,0,18,13,37,1,0
369,12,0,0,0,12,15,33,0,0
370,19.25,1,0,0,12,22,40,1,0
371,38.4500007629395,1,0,0,12,32,50,1,0
372,4.25,1,0,0,12,3,21,0,0
373,0.839999973773956,1,0,0,10,35,51,1,0
374,7.05999994277954,1,1,0,12,12,30,0,1
375,4.75,1,0,0,12,1,19,0,0
376,4,0,1,0,12,7,25,0,0
377,15,1,0,0,11,38,55,1,0
378,23.0799999237061,0,0,0,16,8,30,1,0
379,17.5,1,0,0,18,38,62,0,0
380,13.75,1,0,0,12,14,32,1,0
381,5,1,0,0,12,17,35,0,0
382,8,0,0,0,11,5,22,0,0
383,10,1,0,0,12,9,27,0,0
384,21.0200004577637,0,0,0,16,9,31,1,0
385,6.03999996185303,1,0,0,12,21,39,0,0
386,7,1,0,0,12,8,26,0,0
387,4.25,0,1,0,12,3,21,0,0
388,11,1,0,1,12,23,41,0,0
389,4.5,0,0,0,9,23,38,0,0
390,18,0,0,1,12,28,46,0,0
391,9,0,0,0,12,6,24,0,0
392,12,1,0,0,14,16,36,0,0
393,17.8600006103516,0,0,1,16,22,44,1,0
394,26.9200000762939,0,0,0,16,31,53,1,0
395,16.25,1,0,0,16,13,35,0,0
396,8.75,0,0,0,12,17,35,1,0
397,14.4799995422363,1,0,0,18,12,36,1,0
398,24.0499992370605,0,0,1,14,26,46,1,0
399,3.84999990463257,0,0,0,12,18,36,1,0
400,27.8799991607666,0,0,0,16,27,49,1,0
401,5,1,0,0,12,43,61,0,0
402,16.5,0,0,0,16,12,34,1,0
403,7.21000003814697,1,0,0,12,33,51,0,0
404,13.4499998092651,1,0,0,12,38,56,1,0
405,10.0500001907349,0,0,0,11,22,39,0,0
406,4.25,1,0,0,12,5,23,0,0
407,6.75,1,0,0,12,22,40,0,0
408,15,0,0,1,20,16,42,1,0
409,7.5,1,0,0,18,19,43,0,0
410,8.5,0,0,0,14,6,26,0,0
411,7.21000003814697,1,0,0,12,20,38,0,0
412,9.02000045776367,0,0,0,12,25,43,0,0
413,5,1,0,0,12,9,27,0,0
414,5.34999990463257,1,0,0,14,8,28,0,0
415,6,0,0,0,12,4,22,0,0
416,9,1,0,0,12,29,47,0,0
417,2.29999995231628,1,0,0,12,5,23,0,0
418,5,1,0,0,12,3,21,0,0
419,11.3500003814697,1,0,0,7,35,48,0,0
420,5,0,0,0,12,2,20,0,0
421,8,0,0,0,12,5,23,0,0
422,7.98999977111816,0,0,0,12,20,38,1,0
423,14,1,0,1,12,24,42,0,0
424,10.5799999237061,1,0,0,14,3,23,1,0
425,15.3800001144409,0,0,0,11,24,41,1,0
426,15,0,0,0,16,8,30,1,0
427,13,1,0,0,14,32,52,0,0
428,4.44000005722046,0,1,0,12,6,24,1,0
429,15.4300003051758,1,1,0,12,31,49,1,1
430,9,0,0,0,12,4,22,0,0
431,14.1800003051758,1,0,0,12,39,57,1,0
432,14.960000038147,0,0,0,16,9,31,1,0
433,30.7800006866455,0,0,0,20,27,53,1,0
434,17,0,0,0,12,24,42,0,0
435,8.5,1,0,0,14,13,33,0,0
436,6.75,1,0,0,16,6,28,1,0
437,12.5,0,0,0,12,10,28,0,0
438,22.2999992370605,0,0,0,16,20,42,1,0
439,5,0,0,0,16,21,43,0,0
440,4.90000009536743,0,0,0,12,3,21,0,0
441,13.75,0,0,1,12,40,58,1,0
442,8.60000038146973,1,1,0,12,17,35,0,1
443,6.51999998092651,0,0,0,12,46,64,0,0
444,4.80000019073486,1,0,0,12,15,33,1,0
445,16,0,0,1,12,28,46,0,0
446,5,0,0,0,11,1,18,0,0
447,5.75,0,0,0,12,3,21,0,0
448,7,1,1,0,12,25,43,0,1
449,8.85000038146973,1,1,0,12,15,33,0,1
450,18.8700008392334,0,0,0,14,14,34,1,0
451,30.75,0,0,0,18,27,51,1,0
452,5.30000019073486,1,0,0,12,15,33,0,0
453,28.8299999237061,1,0,0,14,20,40,1,0
454,4.32999992370605,1,0,0,11,26,43,1,0
455,6.03999996185303,0,0,0,12,34,52,1,0
456,18.6900005340576,0,0,1,16,9,31,0,0
457,13.5,1,0,0,12,36,54,0,0
458,17.8899993896484,1,0,1,12,24,42,0,0
459,13.75,1,0,0,16,9,31,1,0
460,7.19999980926514,1,0,0,12,11,29,0,0
461,7,1,0,0,12,1,19,0,0
462,5,1,0,0,12,10,28,0,0
463,17,1,0,0,12,38,56,0,0
464,10,0,0,1,12,9,27,0,0
465,28.8500003814697,0,1,0,12,20,38,1,0
466,13.5,1,0,0,16,2,24,1,0
467,7,1,0,0,16,11,33,0,0
468,13.4399995803833,1,1,1,12,16,34,0,1
469,6,1,1,0,12,4,22,0,1
470,9,0,0,1,12,0,18,0,0
471,10.1000003814697,0,1,0,12,11,29,0,0
472,16.8299999237061,0,1,0,12,27,45,1,0
473,20.2000007629395,1,0,0,12,15,33,1,0
474,8,1,0,0,12,41,59,0,0
475,12.1300001144409,1,0,0,12,23,41,1,0
476,3,1,0,0,16,2,24,0,0
477,4.34999990463257,1,0,0,12,18,36,0,0
478,15.0600004196167,1,0,1,16,28,50,0,0
479,5.25,1,0,0,16,5,27,0,0
480,21.1499996185303,1,0,0,12,17,35,1,0
481,16.8299999237061,0,0,0,12,40,58,1,0
482,8.75,1,0,0,9,48,63,0,0
483,9.47000026702881,1,0,0,12,24,42,1,0
484,9.05000019073486,1,0,0,12,27,45,0,0
485,11.5299997329712,0,0,0,12,14,32,1,0
486,13,1,0,0,12,38,56,0,0
487,5,1,0,0,16,6,28,0,0
488,11,0,0,0,12,29,47,0,0
489,10.6700000762939,1,0,0,12,21,39,1,0
490,9.5,0,0,0,12,6,24,0,0
491,17.7800006866455,0,0,0,12,18,36,1,0
492,26.9300003051758,1,0,0,16,13,35,1,0
493,10,1,0,0,12,41,59,0,0
494,28.3500003814697,0,0,0,16,34,56,1,0
495,8,0,0,0,7,30,43,0,0
496,20.6800003051758,1,0,1,18,20,44,1,0
497,21.6299991607666,1,0,0,16,11,33,1,0
498,16.2999992370605,0,0,1,12,21,39,0,0
499,19.9400005340576,1,0,0,18,34,58,0,0
500,11.25,1,0,1,11,40,57,1,0
501,11.7299995422363,0,0,0,16,22,44,0,0
502,12,1,0,0,14,20,40,0,0
503,18.1599998474121,1,0,1,14,32,52,1,0
504,7.15000009536743,0,0,0,12,1,19,0,0
505,38.4500007629395,1,0,0,18,18,42,1,0
506,25.4300003051758,1,0,0,18,17,41,1,0
507,18.4599990844727,1,0,0,18,27,51,1,0
508,36.0499992370605,0,1,0,18,9,33,1,0
509,7.88000011444092,1,0,0,20,15,41,1,0
510,6,1,0,1,12,5,23,0,0
511,38.4599990844727,0,0,0,16,31,53,1,0
512,25.8899993896484,1,0,0,16,12,34,1,0
513,48.0800018310547,0,0,0,16,38,60,1,0
514,9.5,0,0,0,12,18,36,0,0
515,16.6000003814697,1,0,0,16,16,38,1,0
516,6.5,1,0,0,11,21,38,0,0
517,8,1,0,0,12,6,24,0,0
518,18.75,1,0,0,12,30,48,1,0
519,6.5,1,0,0,10,42,58,0,0
520,12.5,1,0,0,16,19,41,1,0
521,17,0,0,1,14,27,47,0,0
522,5.34999990463257,1,0,0,12,13,31,0,0
523,39,0,0,0,16,25,47,0,0
524,12.5,0,0,1,12,26,44,1,0
525,10.8400001525879,1,0,0,12,38,56,1,0
526,9,1,0,0,12,31,49,0,0
527,8,0,0,0,12,6,24,0,0
528,8.5,1,0,0,16,7,29,0,0
529,5.75,1,1,0,16,12,34,1,1
530,9,1,0,0,12,26,44,0,0
531,8,0,0,0,9,22,37,0,0
532,17.2999992370605,0,0,1,18,22,46,1,0
533,5,1,0,0,12,14,32,0,0
534,5,0,0,0,12,35,53,0,0
535,21.8999996185303,0,0,1,14,17,37,0,0
536,10.0500001907349,1,0,1,12,23,41,0,0
537,17.75,0,0,0,12,21,39,0,0
538,4.59999990463257,1,0,0,12,3,21,0,0
539,4.25,1,0,0,12,6,24,0,0
540,9.34000015258789,0,0,1,12,29,47,0,0
541,8.5600004196167,1,0,0,12,12,30,1,0
542,25,0,0,0,12,6,24,0,0
543,7,1,0,0,12,28,46,0,0
544,23.9500007629395,0,0,1,16,40,62,1,0
545,4.65000009536743,0,0,0,12,35,53,0,0
546,7.15000009536743,0,0,0,14,4,24,0,0
547,9.89000034332275,1,0,0,12,35,53,1,0
548,18.6499996185303,1,0,1,18,15,39,1,0
549,11.6300001144409,0,0,0,12,23,41,1,0
550,6.59999990463257,0,0,0,14,10,30,1,0
551,10.8000001907349,1,0,0,12,16,34,0,0
552,22.6399993896484,0,0,0,20,14,40,1,0
553,6.75,1,0,0,12,34,52,0,0
554,8,0,1,0,12,4,22,0,0
555,9.60999965667725,1,0,0,12,12,30,0,0
556,4.25,1,0,0,12,12,30,0,0
557,8.77999973297119,1,0,1,12,18,36,0,0
558,5.57999992370605,1,0,0,10,10,26,0,0
559,7.09999990463257,1,0,0,12,40,58,0,0
560,7,1,0,1,14,13,33,0,0
561,9,1,0,0,18,14,38,0,0
562,5,0,0,0,11,1,18,0,0
563,18,0,0,0,12,34,52,0,0
564,18,0,0,1,12,23,41,0,0
565,16.8299999237061,1,0,0,12,18,36,1,0
566,25.6399993896484,0,0,0,16,29,51,1,0
567,9.25,1,0,0,12,39,57,0,0
568,19.4200000762939,0,0,0,16,30,52,1,0
569,12.7200002670288,0,0,0,16,14,36,0,0
570,18.4400005340576,0,0,1,12,21,39,0,0
571,4.8600001335144,0,0,1,7,52,65,0,0
572,12,0,0,0,12,24,42,0,0
573,38.4599990844727,0,0,0,16,23,45,1,0
574,8.43000030517578,0,1,1,12,22,40,0,0
575,7,1,1,1,7,21,34,0,1
576,14.1000003814697,0,1,1,16,11,33,1,0
577,11,0,0,0,16,24,46,0,0
578,26.6000003814697,0,0,0,12,38,56,1,0
579,13,1,1,0,12,16,34,0,1
580,15,0,0,0,12,32,50,0,0
581,5,1,1,0,12,7,25,0,1
582,7.5,0,1,1,16,25,47,0,0
583,19,1,1,0,12,30,48,0,1
584,7,1,0,0,12,13,31,0,0
585,16.3500003814697,0,0,0,18,10,34,0,0
586,9.68000030517578,1,0,0,12,17,35,0,0
587,9.5,1,0,0,12,43,61,0,0
588,35.3800010681152,0,0,0,16,16,38,1,0
589,13.6400003433228,0,0,0,12,17,35,1,0
590,16.8299999237061,0,1,0,12,38,56,1,0
591,6.19000005722046,0,0,0,12,22,40,0,0
592,27.4699993133545,0,0,0,16,25,47,1,0
593,13.1000003814697,1,0,1,12,34,52,0,0
594,10.3000001907349,1,0,0,12,14,32,0,0
595,8,0,0,0,12,4,22,0,0
596,7.78000020980835,0,0,0,12,21,39,0,0
597,5,1,0,0,16,1,23,0,0
